Oficina Territorial,Año de la demanda,Mes de la demanda,Número de Solicitudes con Demanda
Valledupar,"2,012",10,2
Barrancabermeja,"2,013",10,1
Bucaramanga,"2,013",10,2
Santa Marta,"2,013",10,3
Sincelejo,"2,013",10,6
Barrancabermeja,"2,014",10,1
Bucaramanga,"2,014",10,2
Caucasia,"2,014",10,12
Pasto,"2,014",10,2
Pereira,"2,014",10,5
Sincelejo,"2,014",10,2
Villavicencio,"2,014",10,12
Barrancabermeja,"2,015",10,8
Bucaramanga,"2,015",10,4
Cali,"2,015",10,27
Mocoa,"2,015",10,32
Pereira,"2,015",10,15
Sincelejo,"2,015",10,31
Villavicencio,"2,015",10,8
Cali,"2,016",10,4
Mocoa,"2,016",10,17
Pereira,"2,016",10,2
Sincelejo,"2,016",10,2
Valledupar,"2,016",10,19
Sincelejo,"2,012",11,19
Villavicencio,"2,012",11,15
Cali,"2,013",11,20
Mocoa,"2,013",11,9
Pasto,"2,013",11,110
Santa Marta,"2,013",11,1
Valledupar,"2,013",11,2
Villavicencio,"2,013",11,12
Pasto,"2,014",11,1
Villavicencio,"2,014",11,15
Bucaramanga,"2,015",11,4
Cali,"2,015",11,57
Mocoa,"2,015",11,5
Pasto,"2,015",11,1
Pereira,"2,015",11,8
Santa Marta,"2,015",11,23
Sincelejo,"2,015",11,6
Valledupar,"2,015",11,33
Villavicencio,"2,015",11,9
Bucaramanga,"2,016",11,9
Mocoa,"2,016",11,12
Pereira,"2,016",11,2
Santa Marta,"2,016",11,2
Sincelejo,"2,016",11,17
Valledupar,"2,016",11,21
Mocoa,"2,012",12,26
Sincelejo,"2,012",12,37
Valledupar,"2,012",12,44
Cali,"2,013",12,162
Valledupar,"2,013",12,1
Villavicencio,"2,013",12,18
Bucaramanga,"2,014",12,14
Cali,"2,014",12,122
Caucasia,"2,014",12,10
Mocoa,"2,014",12,52
Pasto,"2,014",12,13
Sincelejo,"2,014",12,102
Villavicencio,"2,014",12,61
Bucaramanga,"2,015",12,11
Mocoa,"2,015",12,61
Pasto,"2,015",12,15
Sincelejo,"2,015",12,22
Villavicencio,"2,015",12,18
Cali,"2,016",12,12
Caucasia,"2,016",12,19
Mocoa,"2,016",12,34
Pereira,"2,016",12,9
Santa Marta,"2,016",12,11
Sincelejo,"2,016",12,41
Valledupar,"2,016",12,14
Pasto,"2,016",4,45
Valledupar,"2,014",3,3
Pasto,"2,013",12,97
Cali,"2,013",8,31
Pasto,"2,015",4,71
Valledupar,"2,017",9,27
Pereira,"2,015",5,2
Pereira,"2,014",12,76
Sincelejo,"2,016",5,4
Bucaramanga,"2,014",5,9
Pasto,"2,012",12,33
Pasto,"2,012",10,30
Pereira,"2,016",2,5
Valledupar,"2,015",12,102
Caucasia,"2,015",12,158
Villavicencio,"2,017",9,2
Pereira,"2,014",11,11
Carmen de Bolívar,"2,015",12,3
Cúcuta,"2,014",5,1
Urabá,"2,013",8,40
Bogotá D.C.,"2,015",7,47
Cúcuta,"2,017",5,1
Ibagué,"2,013",3,19
Urabá,"2,012",11,22
Ibagué,"2,012",10,40
Urabá,"2,016",1,1
Carmen de Bolívar,"2,014",1,7
Montería,"2,013",4,22
Ibagué,"2,014",5,7
Cúcuta,"2,015",3,3
Montería,"2,016",9,19
Ibagué,"2,015",8,21
Cúcuta,"2,012",9,1
Montería,"2,014",10,6
Popayán,"2,016",6,7
Cúcuta,"2,016",12,2
Montería,"2,015",11,40
Popayán,"2,015",12,15
Montería,"2,014",11,32
Bogotá D.C.,"2,016",11,1
Ibagué,"2,013",4,11
Cúcuta,"2,016",9,7
Cúcuta,"2,016",5,3
Ibagué,"2,014",4,2
Popayán,"2,016",4,1
Montería,"2,014",12,155
Montería,"2,015",8,22
Cúcuta,"2,014",6,1
Pasto,"2,017",10,3
Pasto,"2,015",3,45
Montería,"2,012",10,28
Montería,"2,013",8,140
Valledupar,"2,017",10,33
Cúcuta,"2,014",9,2
Urabá,"2,013",10,6
Urabá,"2,015",6,26
Cúcuta,"2,013",8,16
Montería,"2,014",2,13
Cúcuta,"2,015",5,2
Popayán,"2,016",2,1
Cúcuta,"2,013",9,6
Montería,"2,013",9,21
Cúcuta,"2,012",10,2
Urabá,"2,015",5,21
Bucaramanga,"2,017",9,6
Popayán,"2,014",1,2
Montería,"2,015",9,67
Cúcuta,"2,015",7,6
Ibagué,"2,014",3,11
Bogotá D.C.,"2,016",5,4
Cúcuta,"2,015",8,3
Montería,"2,016",12,74
Cúcuta,"2,016",8,6
Cúcuta,"2,016",7,5
Urabá,"2,015",7,9
Bogotá D.C.,"2,014",10,20
Bogotá D.C.,"2,016",3,14
Bogotá D.C.,"2,014",6,5
Bogotá D.C.,"2,015",12,188
Urabá,"2,016",4,6
Urabá,"2,014",1,2
Ibagué,"2,015",6,37
Urabá,"2,016",5,5
Bogotá D.C.,"2,015",10,82
Ibagué,"2,013",2,26
Cúcuta,"2,016",11,16
Ibagué,"2,015",3,11
Ibagué,"2,012",11,5
Montería,"2,014",8,16
Cúcuta,"2,013",2,6
Montería,"2,013",11,22
Urabá,"2,015",11,9
Cúcuta,"2,014",8,4
Popayán,"2,016",7,1
Ibagué,"2,013",11,3
Cúcuta,"2,014",10,4
Mocoa,"2,017",10,1
Cúcuta,"2,016",3,2
Popayán,"2,015",11,5
Cúcuta,"2,016",1,1
Montería,"2,014",4,5
Popayán,"2,014",9,2
Montería,"2,014",9,7
Urabá,"2,015",3,1
Urabá,"2,016",9,31
Popayán,"2,015",3,5
Ibagué,"2,015",7,4
Ibagué,"2,016",4,7
Ibagué,"2,013",8,45
Cúcuta,"2,015",1,2
Bogotá D.C.,"2,014",5,33
Ibagué,"2,014",11,9
Popayán,"2,015",7,14
Ibagué,"2,016",1,13
Bogotá D.C.,"2,016",12,65
Cúcuta,"2,014",12,61
Ibagué,"2,016",6,23
Montería,"2,012",9,32
Popayán,"2,016",3,6
Bogotá D.C.,"2,016",1,28
Montería,"2,014",5,22
Montería,"2,013",3,72
Cúcuta,"2,012",3,1
Popayán,"2,016",1,9
Cúcuta,"2,013",6,13
Carmen de Bolívar,"2,016",3,3
Ibagué,"2,015",9,31
Pasto,"2,017",5,1
Cúcuta,"2,016",4,1
Popayán,"2,016",12,2
Popayán,"2,014",4,1
Montería,"2,012",12,52
Cúcuta,"2,015",10,3
Cúcuta,"2,012",8,1
Cúcuta,"2,014",11,7
Cúcuta,"2,015",4,2
Carmen de Bolívar,"2,016",4,10
Montería,"2,016",5,12
Ibagué,"2,014",9,45
Urabá,"2,014",12,39
Urabá,"2,015",10,2
Urabá,"2,013",3,5
Popayán,"2,015",10,3
Ibagué,"2,014",7,3
Urabá,"2,014",7,1
Bogotá D.C.,"2,015",11,6
Popayán,"2,016",11,8
Urabá,"2,013",9,4
Ibagué,"2,012",9,1
Urabá,"2,016",8,10
Ibagué,"2,012",8,7
Cúcuta,"2,013",3,1
Carmen de Bolívar,"2,014",6,14
Ibagué,"2,016",9,2
Montería,"2,013",10,110
Carmen de Bolívar,"2,016",2,14
Ibagué,"2,015",5,15
Carmen de Bolívar,"2,014",3,3
Cúcuta,"2,013",4,8
Ibagué,"2,014",8,11
Ibagué,"2,013",7,51
Montería,"2,013",12,60
Bogotá D.C.,"2,015",8,21
Urabá,"2,013",7,4
Pasto,"2,016",11,4
Urabá,"2,013",4,41
Ibagué,"2,016",11,6
Carmen de Bolívar,"2,013",6,7
Urabá,"2,014",10,8
Bogotá D.C.,"2,015",9,22
Bogotá D.C.,"2,017",3,2
Cúcuta,"2,014",3,5
Ibagué,"2,013",9,38
Cali,"2,017",10,14
Montería,"2,014",6,2
Bogotá D.C.,"2,014",3,9
Cúcuta,"2,014",4,4
Cúcuta,"2,012",11,11
Montería,"2,015",7,18
Cúcuta,"2,014",7,3
Bogotá D.C.,"2,016",2,5
Ibagué,"2,015",11,5
Popayán,"2,015",4,3
Cúcuta,"2,013",7,10
Ibagué,"2,014",10,33
Urabá,"2,013",6,2
Montería,"2,015",12,95
Popayán,"2,015",1,3
Cúcuta,"2,016",10,4
Carmen de Bolívar,"2,013",3,7
Urabá,"2,017",11,5
Santa Marta,"2,014",2,136
Carmen de Bolívar,"2,013",7,2
Villavicencio,"2,017",10,3
Bucaramanga,"2,017",11,12
Urabá,"2,017",10,1
Caucasia,"2,017",11,7
Bucaramanga,"2,017",10,1
Carmen de Bolívar,"2,013",10,17
Carmen de Bolívar,"2,013",4,19
Carmen de Bolívar,"2,015",10,50
Medellín Occidente,"2,015",9,2
Carmen de Bolívar,"2,014",10,58
Santa Marta,"2,016",9,14
Valledupar,"2,014",8,3
Barrancabermeja,"2,015",4,7
Carmen de Bolívar,"2,016",10,8
Urabá,"2,015",9,7
Medellín Occidente,"2,015",3,35
Carmen de Bolívar,"2,013",9,39
Urabá,"2,014",11,34
Barrancabermeja,"2,012",12,49
Barrancabermeja,"2,016",7,9
Carmen de Bolívar,"2,014",7,17
Santa Marta,"2,012",9,6
Villavicencio,"2,012",12,22
Pereira,"2,017",11,13
Barrancabermeja,"2,016",5,3
Villavicencio,"2,015",5,8
Popayán,"2,014",2,9
Santa Marta,"2,016",3,16
Mocoa,"2,013",12,59
Santa Marta,"2,014",3,45
Medellín Oriente,"2,013",5,7
Santa Marta,"2,015",7,98
Villavicencio,"2,014",2,2
Carmen de Bolívar,"2,013",5,21
Medellín Oriente,"2,013",8,4
Urabá,"2,014",3,29
Valledupar,"2,015",2,3
Caucasia,"2,018",1,35
Santa Marta,"2,016",4,5
Medellín Occidente,"2,014",11,40
Medellín Oriente,"2,014",8,4
Villavicencio,"2,013",3,7
Carmen de Bolívar,"2,014",9,34
Santa Marta,"2,014",8,18
Santa Marta,"2,014",9,29
Medellín Oriente,"2,013",12,62
Popayán,"2,014",6,2
Barrancabermeja,"2,014",9,10
Medellín Oriente,"2,013",6,1
Santa Marta,"2,018",1,22
Barrancabermeja,"2,016",11,8
Carmen de Bolívar,"2,012",12,37
Popayán,"2,014",12,26
Medellín Oriente,"2,014",4,4
Santa Marta,"2,015",4,17
Barrancabermeja,"2,014",12,10
Medellín Oriente,"2,017",11,1
Santa Marta,"2,014",4,144
Santa Marta,"2,015",10,18
Medellín Occidente,"2,014",12,34
Medellín Oriente,"2,014",2,7
Cúcuta,"2,015",2,3
Medellín Oriente,"2,014",1,4
Medellín Oriente,"2,014",6,8
Santa Marta,"2,014",12,154
Popayán,"2,013",12,8
Cali,"2,013",4,8
Santa Marta,"2,016",6,69
Barrancabermeja,"2,014",4,19
Santa Marta,"2,012",12,63
Medellín Oriente,"2,014",9,1
Villavicencio,"2,014",3,6
Carmen de Bolívar,"2,014",2,14
Santa Marta,"2,016",10,30
Carmen de Bolívar,"2,012",6,17
Medellín Occidente,"2,015",5,5
Medellín Oriente,"2,012",12,2
Santa Marta,"2,013",1,58
Medellín Occidente,"2,014",5,12
Barrancabermeja,"2,016",10,4
Medellín Occidente,"2,015",2,39
Medellín Oriente,"2,014",7,1
Barrancabermeja,"2,016",8,13
Valledupar,"2,018",1,8
Medellín Oriente,"2,013",11,3
Cúcuta,"2,017",12,3
Carmen de Bolívar,"2,012",9,19
Villavicencio,"2,015",7,4
Medellín Occidente,"2,015",4,3
Ibagué,"2,014",12,64
Medellín Occidente,"2,015",8,9
Urabá,"2,015",4,5
Medellín Oriente,"2,013",4,4
Bogotá D.C.,"2,018",1,1
Santa Marta,"2,015",12,254
Carmen de Bolívar,"2,013",8,16
Santa Marta,"2,013",12,56
Barrancabermeja,"2,014",3,1
Medellín Occidente,"2,017",11,4
Cali,"2,012",12,96
Bogotá D.C.,"2,017",1,2
Valledupar,"2,016",6,71
Barrancabermeja,"2,014",7,7
Urabá,"2,013",11,16
Medellín Occidente,"2,017",9,2
Medellín Occidente,"2,015",7,8
Santa Marta,"2,016",7,4
Carmen de Bolívar,"2,016",7,40
Popayán,"2,014",5,10
Barrancabermeja,"2,013",2,7
Carmen de Bolívar,"2,015",9,2
