Departamento,Municipio, L.1 Transparencia,L.2 Colaboración,L.3 Participación, Promedio indicadores de proceso TIC para Gobierno abierto,RC1.Porcentaje de conjuntos de datos abiertos estratégicos publicados,Número de aplicaciones o de publicaciones generadas a partir de datos abiertos,Número de soluciones implementadas a colaboracion que hacen uso de medios electrónicos,Porcentaje de ejercicios de consulta o toma de decisiones  en los que se hizo uso de medios electrónicos,Promedio indicadores de resultado TIC para Gobierno abierto,Gobierno abierto,Porcentaje de trámites y servicios en línea que cuentan con caracterización de los usuarios,Porcentaje de trámites y servicios en línea que cumplen los criterios de accesibilidad,Porcentaje de trámites y servicios en línea  que cumplen los criterios de usabilidad,Porcentaje de trámites y servicios en línea que fueron promocionados,L.4 Servicios centrados en el usuario,"Cuenta con un sistema web para la recepción, trámite y respuesta de PQRD","Cuenta con un sistema móvil para la recepción, trámite y respuesta de PQRD",Cuenta con un sistema integrado  de PQRD, L.5 Sistema integrado de PQRD,Porcentaje de certificaciones y constancias disponibles en línea,Porcentaje de trámites y servicios disponibles en línea,Porcentaje de trámites y servicios en línea integrados a alguna ventanilla única, L.6 Trámites y servicios en línea,Promedio indicadores de proceso TIC para Servicios ,Satisfacción con los trámites y servicios en línea,Porcentaje de transacciones en línea,Promedio indicadores de resultado TIC para Servicios,TIC para servicios,Cumpliento del plan estratégico de TI,Cumplimiento con el alcance del plan estratégico ,Cumplimiento con el monitoreo y evaluación de la estrategia de TI,Cumplimiento con el catálogo de servicios de TI,Cumplimiento con el direccionamiento estratégico de TI,L.7 Estratégia de TI,Cumplimiento con el esquema de gobierno de TI,Cumplimiento con la optimización de  compras públicas  de TI,Cumplimiento en la aplicación de buenas prácticas para la gerencia de proyectos TI,Cumplimiento con la transferencia de conocimiento por parte de proveedores,L.8 Gobierno de TI,Cumplimiento de gestión de componentes de información,"Catálogo de componentes de información (datos, información, servicios y flujos de información.",Plataforma de Interoperabilidad.,"Mecanismos  de aseguramiento, control, inspección y             mejoramiento de la calidad de los componentes de información",L.9 Información,Cumplimiento con la gestión derechos de autor,Cumplimiento con las recomendaciones de estilo y Usabilidad,Cumplimiento de los sistemas de información con la apertura de datos,Cumplimiento con el ciclo de vida de los sistemas de información,Cumplimiento con el seguimiento a etapas del ciclo de vida,"Auditoría, seguridad, privacidad y trazabilidad de los sistemas de información",L.10 Sistemas de Información,Cumplimiento con la arquitectura de servicios ,Cumplimiento con la metodología para adquisión de servicios tecnológicos,Cumplimiento con el programa de disposición final de residuos tecnológicos,Cumplimiento con mecanismos de monitoreo de los servicios tecnológicos,Cumplimiento con el soporte y mantenimiento de los servicios tecnológicos,Cumplimiento con la gestión de la calidad y seguridad de servicios tecnológicos ,L.11 Servicios Técnologicos,Cumplimiento de la estrategia de uso y apropiación ,L.12 Uso y apropiación,Cumplimiento con la iniciativa de uso eficiente del papel,Cumplimiento con la gestión de documentos electrónicos,Cumplimiento con la automatización de procesos y procedimientos internos,L.13 Capacidades institucionales,Promedio Indicadores de proceso TIC para la Gestión,RC3.1*,RC3.2*,RC3.3*,RC3.4*,RC3.5*,RC3.6*,Promedio indicadores de resultado TIC para la Gestión*,TIC para la Gestión TI,Diagnostico Seguridad y Privacidad de la Información,La entidad establece y documenta las  políticas del MSPI.,"La entidad establece procedimientos, roles y responsabilidades dentro del MSPI",La entidad realiza el inventario de activos de información,La entidad gestiona los riesgos de seguridad y privacidad de la información.,"La entidad genera planes de comunicación, sensibilización y capacitación en seguridad de la información",L. 14Definición del marco de seguridad y privacidad de la información y de los sistemas de información,Debilidades de Implementación en el MSPI,La entidad implementa el plan de tratamiento de riesgos de seguridad y privacidad de la información,Se divulga y capacita a los funcionarios sobre las temáticas del modelo de gestión de seguridad de la información establecido para la entidad,TL15 Implementación del plan de seguridad y privacidad de la información y de los sistemas de información,"La entidad cuenta con actividades para el seguimiento, medición, análisis y evaluación del desempeño de la seguridad y privacidad con el fin de generar los ajustes o cambios pertinentes y oportunos.",La entidad revisa e implementa acciones de mejora continua que garanticen el cumplimiento del plan de seguridad y privacidad de la Información.,L16Monitoreo y mejoramiento continuo,Promedio indicadores de proceso Seguridad y Privacidad de la Información,R4.1 dentificación de activos críticos de información*,R4.2 Gestión vulnerabilidades*,R4.3 Remediación *,Promedio indicadores de resultado Seguridad y Privacidad de la Información*,Seguridad y Privacidad de la Información,ÍNDICE GEL
Amazonas,Gobernación,98,0,100,66,100,0,0,100,50,58,0,100,100,100,75,100,100,100,100,50,25,0,25,67,50,100,75,71,0,0,0,0,0,0,50,0,100,100,63,30,0,0,0,8,0,25,100,25,0,0,25,0,50,100,75,67,17,51,60,60,67,50,75,64,39,0,0,33,75,100,100,51,45,0,67,0,0,0,38,17,0,0,100,33,13,33,23,25,0,NA,0,0,12,47
Amazonas,Puerto Nariño,37,0,0,12,0,0,0,0,0,6,25,0,0,0,6,100,0,0,33,100,100,25,75,38,30,80,55,47,0,0,0,0,0,0,67,0,0,0,17,0,0,0,17,4,0,0,100,50,0,0,25,0,0,0,0,100,50,25,70,70,83,75,25,61,29,0,0,0,100,100,100,50,39,0,0,0,13,0,25,6,20,13,100,44,0,33,17,22,0,NA,0,0,11,26
Amazonas,Leticia,64,0,100,55,100,100,0,100,75,65,0,0,0,0,0,100,100,0,67,0,0,0,0,22,0,100,50,36,0,0,0,0,0,0,0,50,100,100,63,0,0,0,0,0,100,50,100,0,0,0,42,50,50,0,0,33,0,22,60,60,83,100,100,94,40,0,0,100,50,100,100,58,49,0,100,0,38,8,25,28,0,0,100,33,0,0,0,21,0,NA,0,0,10,40
Antioquia,Sopetrán,47,0,0,16,0,0,0,0,0,8,0,0,0,0,0,100,0,100,67,0,0,0,0,22,0,100,50,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,8,0,100,0,0,67,0,28,0,0,0,0,0,0,5,0,0,11,100,100,0,35,20,0,8,0,38,8,0,9,0,50,0,17,0,0,0,9,0,NA,NA,0,4,17
Antioquia,Concepción,37,0,0,12,0,0,0,0,0,6,0,0,0,0,0,100,100,0,67,0,75,0,25,31,75,0,38,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,17,0,0,100,0,0,0,17,0,0,83,50,0,44,11,0,0,0,0,0,0,0,6,0,50,0,0,8,0,10,0,0,0,0,0,0,0,3,0,NA,0,0,2,12
Antioquia,Sonsón,92,0,100,64,100,0,0,0,25,45,75,75,25,75,63,100,100,100,100,0,100,100,67,76,75,100,88,82,70,0,0,0,0,14,83,50,100,100,83,0,0,0,17,4,0,100,100,50,70,50,62,0,50,100,30,100,67,58,70,70,100,100,100,100,56,0,0,0,0,0,100,17,36,100,67,0,38,17,75,49,0,50,25,25,25,100,63,46,100,75,0,58,52,54
Antioquia,Cocorná,98,100,100,99,100,0,100,100,75,87,75,75,100,100,88,100,100,100,100,75,75,0,50,79,100,18,59,69,0,0,0,0,0,0,0,0,100,100,50,0,50,100,0,38,0,0,100,100,0,0,33,0,100,100,55,67,17,56,60,60,83,100,100,94,47,0,100,0,0,0,100,33,40,100,67,0,0,0,25,32,40,0,100,47,0,67,33,37,0,NA,NA,0,19,54
Antioquia,Segovia,12,100,100,71,0,0,100,100,50,60,100,100,0,0,50,0,0,0,0,0,100,0,33,28,60,0,30,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,67,0,19,0,0,67,25,50,47,10,0,0,0,67,0,0,11,10,0,0,0,0,0,38,6,0,0,25,8,0,0,0,5,0,NA,NA,0,2,25
Antioquia,Ciudad Bolívar,55,100,100,85,0,0,0,0,0,42,0,100,100,25,56,100,100,100,100,0,100,0,33,63,0,0,0,32,0,0,0,0,0,0,0,50,0,100,38,0,0,0,17,4,0,75,100,50,0,100,54,0,100,0,0,100,17,36,50,50,67,25,0,31,30,0,0,100,100,0,100,50,40,0,0,0,38,8,38,14,20,50,0,23,13,100,56,31,0,NA,NA,0,16,32
Antioquia,El Santuario,64,0,100,55,0,0,0,0,0,27,100,100,100,100,100,100,0,100,67,0,25,100,42,69,60,100,80,75,0,0,0,0,40,8,17,0,100,100,54,30,0,0,50,20,0,75,100,50,30,50,51,0,50,100,0,67,33,42,70,70,50,100,100,83,47,0,0,0,100,100,100,50,48,0,42,100,38,29,75,47,40,50,100,63,0,100,50,54,0,NA,NA,0,27,44
Antioquia,Ebéjico,49,0,100,50,0,0,0,100,25,37,100,100,100,100,100,100,100,0,67,0,50,100,50,72,100,100,100,86,0,0,0,50,0,10,50,0,100,100,63,0,0,0,0,0,100,75,100,0,0,50,54,0,50,100,0,100,0,42,50,50,100,100,75,92,44,0,0,0,0,0,100,17,30,50,8,0,13,0,50,20,20,0,50,23,25,0,13,19,0,NA,NA,0,9,41
Antioquia,Santo Domingo,100,100,100,100,100,100,100,100,100,100,75,100,100,25,75,100,100,100,100,100,75,50,75,83,100,100,100,92,100,33,100,0,80,63,50,100,100,100,88,100,0,100,33,58,100,100,100,50,30,50,72,100,50,100,75,67,33,71,80,80,100,75,100,92,75,40,100,100,100,100,100,90,82,100,100,100,50,17,100,78,60,0,100,53,50,100,75,69,100,NA,NA,100,84,90
Antioquia,Don Matías,86,100,100,95,100,100,100,0,75,85,0,0,0,100,25,100,0,100,67,100,100,0,67,53,0,0,0,26,0,0,0,0,40,8,50,50,0,100,50,100,25,0,0,31,0,0,0,0,0,0,0,50,0,0,0,33,0,14,80,80,33,0,75,36,31,0,0,0,0,0,100,17,24,0,8,0,38,8,38,15,60,50,50,53,0,100,50,40,100,NA,NA,100,70,51
Antioquia,Santa Fe de Antioquia,73,0,100,58,100,0,0,100,50,54,75,100,100,100,94,100,100,100,100,50,25,50,42,78,100,97,99,89,70,50,0,50,100,54,67,50,100,100,79,0,0,100,33,33,100,50,100,50,30,100,72,0,100,0,100,100,50,58,70,70,83,100,100,94,66,50,33,38,100,100,100,70,68,50,83,0,63,92,100,65,100,50,100,83,75,100,88,78,100,NA,100,100,89,75
Antioquia,Dabeiba,70,0,100,57,0,100,0,100,50,53,0,0,100,0,25,100,100,100,100,0,25,0,8,44,100,0,50,47,70,100,60,100,100,86,100,100,100,100,100,100,100,0,100,75,100,75,100,75,30,50,72,100,100,100,50,0,67,69,100,100,100,100,100,100,86,100,100,0,0,0,100,50,68,0,58,100,38,42,63,50,60,50,100,70,75,100,88,69,100,50,100,83,76,61
Antioquia,Santa Rosa de Osos,76,100,100,92,100,100,100,100,100,96,100,100,100,100,100,100,100,100,100,25,75,100,67,89,100,100,100,94,0,0,0,0,80,16,0,50,100,100,63,100,50,100,83,83,0,100,100,0,0,50,42,0,100,100,75,67,0,57,0,0,100,75,50,75,48,0,0,100,100,0,100,50,49,0,8,0,38,29,75,25,100,50,100,83,38,100,69,59,0,NA,NA,0,30,67
Antioquia,Copacabana,97,100,100,99,100,0,100,50,63,81,100,100,100,50,88,100,100,100,100,100,100,25,75,88,70,96,83,85,0,0,0,100,80,36,100,100,100,100,100,100,100,0,83,71,100,100,100,100,100,100,100,0,100,100,100,100,100,83,100,100,100,100,100,100,84,0,0,100,100,100,100,67,75,50,100,100,100,33,88,78,60,0,100,53,75,100,88,73,100,NA,100,100,87,82
Antioquia,Santa Bárbara,83,100,100,94,100,0,100,50,63,78,0,0,0,0,0,100,100,100,100,0,0,0,0,33,20,89,54,44,100,33,30,0,0,33,50,0,100,100,63,30,100,0,33,41,0,50,100,25,30,0,34,0,50,100,50,33,17,42,70,70,100,50,75,75,51,0,0,0,0,100,100,33,42,0,25,0,0,8,63,16,40,50,100,63,38,100,69,49,100,NA,NA,100,75,60
Antioquia,Caramanta,37,0,100,46,0,0,0,0,0,23,0,0,0,0,0,100,0,100,67,0,0,0,0,22,0,27,13,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,25,0,0,0,0,21,0,0,0,0,0,0,0,0,0,83,100,100,94,16,0,0,0,0,0,0,0,8,0,0,0,0,29,75,17,0,0,50,17,0,0,0,11,0,NA,0,0,6,14
Antioquia,San Vicente Ferrer,27,0,0,9,0,0,0,100,25,17,0,0,0,0,0,100,0,100,67,0,25,0,8,25,100,76,88,56,0,0,0,0,0,0,0,0,0,100,25,0,0,0,50,13,0,25,100,50,0,50,38,50,50,0,0,67,50,36,20,20,100,75,100,92,32,0,0,77,100,100,0,46,39,0,42,100,38,0,75,42,0,25,0,8,0,33,17,22,0,NA,0,0,11,31
Antioquia,Caracolí,14,0,100,38,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,100,29,0,0,0,0,0,0,0,100,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,6
Antioquia,San Roque,72,100,100,91,100,0,100,100,75,83,0,0,0,0,0,100,100,100,100,0,0,0,0,33,70,100,85,59,0,0,0,0,0,0,0,0,0,100,25,0,25,0,17,10,0,50,100,0,0,0,25,0,0,0,0,67,17,14,50,50,100,50,50,67,27,0,0,0,0,100,0,17,22,50,42,0,0,33,13,23,40,25,100,55,0,33,17,32,0,NA,NA,0,16,45
Antioquia,Cañasgordas,87,0,100,62,50,100,0,0,38,50,0,0,0,0,0,100,0,0,33,0,0,0,0,11,0,100,50,31,0,0,0,0,40,8,50,100,100,100,88,0,0,0,0,0,0,0,100,0,0,50,25,50,50,0,0,67,0,28,60,60,100,100,100,100,44,0,0,100,100,0,100,50,47,50,8,0,38,8,63,28,60,13,50,41,25,0,13,27,0,NA,NA,0,14,35
Antioquia,San Rafael,33,0,100,44,0,0,0,100,25,35,0,0,0,0,0,100,100,0,67,0,0,0,0,22,0,27,13,18,0,0,0,0,0,0,33,0,100,100,58,30,0,0,0,8,0,25,100,0,0,0,21,0,50,0,0,33,0,14,0,0,0,0,0,0,14,0,0,0,0,0,0,0,7,0,8,0,38,0,0,8,0,0,0,0,0,0,0,3,0,NA,0,0,1,15
Antioquia,Campamento,28,0,0,9,0,0,0,0,0,5,0,100,100,0,50,100,0,100,67,0,100,75,58,58,100,100,100,79,0,0,0,0,0,0,0,50,0,100,38,0,0,100,17,29,100,25,100,50,0,0,46,0,0,100,25,33,33,32,0,0,67,25,50,47,27,0,0,0,0,0,100,17,22,0,0,0,0,0,25,4,0,0,0,0,0,0,0,1,0,NA,NA,0,1,27
Antioquia,San Pedro de Urabá,88,100,100,96,100,100,100,100,100,98,0,100,100,100,75,100,100,100,100,0,50,0,17,64,55,0,28,46,0,0,0,0,40,8,67,50,100,100,79,30,25,100,0,39,0,100,100,0,0,0,33,100,50,100,0,67,0,53,50,50,67,25,0,31,42,0,0,0,100,100,100,50,46,0,8,0,38,8,25,13,0,50,100,50,0,67,33,32,0,NA,0,0,16,51
Antioquia,San Pedro de los Milagros,54,100,100,85,0,0,100,100,50,67,0,0,100,0,25,100,100,100,100,0,25,0,8,44,50,100,75,60,0,0,0,0,0,0,0,0,0,100,25,0,0,0,0,0,0,25,100,25,0,0,25,0,0,100,75,100,0,46,0,0,0,0,0,0,14,0,0,57,100,0,0,26,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,37
Antioquia,San Luis,77,0,100,59,100,0,0,100,50,55,0,0,0,0,0,100,100,100,100,0,0,0,0,33,0,0,0,17,0,0,0,0,0,0,0,0,0,100,25,0,0,0,0,0,100,25,100,0,0,0,38,0,50,100,0,100,0,42,0,0,83,100,50,78,26,0,0,0,100,0,100,33,30,0,8,0,100,0,25,22,40,0,0,13,0,33,17,17,0,NA,NA,0,9,27
Antioquia,Cisneros,46,0,0,15,0,0,0,0,0,8,0,0,0,0,0,100,0,100,67,0,0,0,0,22,0,11,6,14,0,0,0,0,40,8,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,33,0,100,100,0,100,0,50,50,50,100,0,100,67,30,0,0,0,0,0,0,0,15,0,83,0,0,0,0,14,0,0,0,0,0,0,0,5,0,NA,NA,0,2,10
Antioquia,Caucasia,39,0,100,46,0,0,0,100,25,36,0,0,0,0,0,100,0,100,67,0,0,0,0,22,0,75,38,30,0,0,0,0,40,8,67,0,0,100,42,0,0,0,0,0,100,50,0,50,0,0,33,0,50,0,0,67,0,19,0,0,67,50,100,72,25,0,0,40,100,0,100,40,32,0,75,0,63,8,38,31,0,50,50,33,13,33,23,29,0,NA,0,0,14,28
Antioquia,San Juan de Urabá,54,0,0,18,0,0,0,0,0,9,0,0,0,0,0,100,100,100,100,0,100,100,67,56,100,0,50,53,0,0,0,0,40,8,0,50,100,100,63,0,0,0,0,0,0,25,0,25,0,0,8,0,50,0,0,100,67,36,50,50,83,100,100,94,37,0,0,0,100,100,100,50,44,0,75,0,0,0,38,19,100,50,100,83,38,100,69,57,0,NA,NA,0,28,33
Antioquia,Chigorodó,92,0,100,64,100,100,0,100,75,69,100,100,100,100,100,100,100,100,100,75,100,100,92,97,100,14,57,77,0,0,0,50,100,30,67,100,100,100,92,70,50,100,50,68,0,50,0,25,0,50,21,100,50,100,100,100,100,92,80,80,100,100,75,92,68,0,0,25,60,0,100,31,49,50,58,100,38,0,75,53,40,25,100,55,100,67,83,64,100,75,0,58,61,64
Antioquia,Carolina del Príncipe,50,0,100,50,0,0,0,100,25,37,0,100,100,100,75,100,100,100,100,0,25,75,33,69,60,89,75,72,0,0,0,0,100,20,50,50,0,100,50,0,0,0,0,0,100,50,100,0,0,0,42,0,50,100,0,33,0,31,50,50,67,100,75,81,39,0,0,0,0,0,100,17,28,50,58,0,38,21,50,36,0,13,100,38,50,100,75,50,100,NA,NA,100,75,53
Antioquia,San José de la Montaña,60,0,100,53,100,100,0,100,75,64,0,0,0,0,0,0,0,100,33,0,50,0,17,17,0,100,50,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,6,0,0,50,50,0,33,6,0,0,0,0,0,0,0,3,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,NA,NA,0,0,25
Antioquia,Carepa,41,0,100,47,0,0,0,100,25,36,100,100,100,100,100,100,100,100,100,50,100,75,75,92,100,0,50,71,0,0,0,0,40,8,0,0,0,100,25,0,0,100,0,25,0,25,100,0,0,100,38,0,50,100,0,67,0,36,0,0,67,100,50,72,29,0,100,100,61,0,100,60,45,0,0,100,0,0,13,19,20,0,0,7,0,0,0,8,0,NA,NA,0,4,39
Antioquia,San Jerónimo,38,0,0,13,0,0,0,100,25,19,0,0,0,0,0,100,100,100,100,0,50,0,17,39,100,97,99,69,0,0,0,0,40,8,0,50,100,0,38,0,50,100,33,46,100,100,100,25,30,0,59,50,50,100,50,100,33,64,70,70,100,100,100,100,55,0,100,50,100,100,100,75,65,0,8,0,38,25,50,20,80,50,100,77,0,100,50,49,100,NA,0,50,49,50
Antioquia,San Carlos,34,0,100,45,0,0,0,0,0,22,0,100,100,75,69,100,0,100,67,0,100,0,33,56,100,0,50,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,11,0,0,100,50,75,75,12,0,0,0,100,0,0,17,14,0,0,0,38,0,13,8,0,0,0,0,0,0,0,3,0,NA,0,0,1,23
Antioquia,Betulia,60,0,100,53,0,0,0,100,25,39,0,0,0,0,0,100,100,100,100,25,0,0,8,36,70,75,73,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,4,0,0,0,0,0,0,0,0,0,83,25,0,36,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,24
Antioquia,San Francisco,90,0,100,63,100,100,0,100,75,69,100,100,100,100,100,100,0,100,67,0,25,75,33,67,20,100,60,63,100,50,0,0,40,38,67,70,100,100,84,100,0,100,0,50,100,25,100,25,0,0,42,0,0,100,0,67,0,28,60,60,100,25,50,58,51,0,0,0,100,0,100,33,42,50,58,0,0,13,38,26,0,13,0,4,0,33,17,16,100,NA,100,100,58,58
Antioquia,Armenia,17,0,0,6,0,0,0,0,0,3,50,50,50,0,38,100,100,100,100,0,25,0,8,49,0,63,32,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,4,0,0,0,0,67,0,11,50,50,50,25,0,25,13,0,0,57,0,0,0,10,11,50,0,0,0,8,13,12,20,0,0,7,0,0,0,6,0,NA,NA,0,3,14
Antioquia,Briceño,39,0,100,46,0,0,0,0,0,23,0,0,0,0,0,100,100,100,100,0,0,0,0,33,0,100,50,42,100,100,60,0,40,60,83,100,100,100,96,30,25,100,17,43,100,50,100,100,70,50,78,100,100,100,0,100,0,67,50,50,83,100,75,86,69,33,0,50,100,0,100,47,58,100,100,100,50,17,0,61,60,25,100,62,25,100,63,62,0,NA,0,0,31,38
Antioquia,Salgar,28,0,0,9,0,0,0,0,0,5,0,100,100,0,50,100,100,100,100,100,100,0,67,72,60,100,80,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,11,2,0,0,0,0,0,0,0,1,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,0,0,20
Antioquia,Belmira,95,0,100,65,100,0,0,0,25,45,0,100,100,100,75,100,100,100,100,0,50,100,50,75,100,100,100,88,0,0,0,0,40,8,50,50,100,100,75,0,25,0,0,6,100,75,100,75,0,100,75,50,50,100,0,67,67,56,80,80,100,100,75,92,56,0,0,88,100,0,100,48,52,50,75,0,63,8,38,39,40,50,100,63,50,100,75,59,0,NA,NA,0,30,53
Antioquia,San Andrés de Cuerquia,28,0,100,43,0,0,0,0,0,21,0,25,0,0,6,100,100,100,100,0,75,0,25,44,100,0,50,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,75,100,0,0,0,46,0,0,0,0,0,0,0,0,0,67,0,0,22,10,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,18
Antioquia,Betania,41,0,100,47,0,0,0,0,0,24,0,0,0,0,0,100,0,100,67,0,0,0,0,22,0,100,50,36,0,0,0,0,40,8,50,50,100,100,75,30,25,0,0,14,0,25,100,25,0,50,33,50,100,100,25,67,17,60,60,60,50,50,100,67,45,0,0,100,0,100,100,50,48,50,83,0,38,29,38,40,20,50,0,23,13,100,56,40,100,NA,0,50,45,38
Antioquia,Sabanalarga,100,0,100,67,100,0,0,100,50,58,0,100,100,0,50,100,100,100,100,100,100,50,83,78,60,100,80,79,0,0,0,0,100,20,50,0,0,100,38,0,25,0,0,6,0,100,100,25,0,100,54,0,50,100,0,100,33,47,0,0,83,75,75,78,35,0,0,100,100,0,100,50,42,0,100,0,100,0,75,46,0,13,50,21,0,0,0,22,0,NA,NA,0,11,48
Antioquia,Caicedo,22,0,0,7,0,0,0,0,0,4,0,0,0,0,0,100,100,100,100,0,100,0,33,44,0,100,50,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,75,75,83,12,0,0,0,0,0,100,17,14,0,0,0,0,0,25,4,0,50,25,25,0,0,0,10,0,NA,NA,0,5,18
Antioquia,Sabaneta,60,0,0,20,0,0,0,0,0,10,100,100,100,100,100,100,0,100,67,0,25,100,42,69,100,100,100,85,0,0,0,100,40,28,50,50,0,100,50,0,25,0,0,6,0,25,0,0,0,0,4,100,0,0,25,100,33,43,10,10,67,100,100,89,33,0,0,0,100,0,100,33,33,50,92,0,38,0,25,34,40,0,0,13,38,100,69,39,0,NA,0,0,19,37
Antioquia,Caldas,90,0,100,63,0,0,0,0,0,32,0,0,0,0,0,100,100,100,100,0,0,0,0,33,0,88,44,39,70,50,0,0,40,32,0,50,0,0,13,0,0,100,0,25,100,0,0,25,0,50,29,0,50,0,0,100,50,33,0,0,67,100,75,81,30,29,0,100,87,0,100,53,41,0,0,0,13,0,0,2,0,50,0,17,0,0,0,6,0,NA,0,0,3,29
Antioquia,Remedios,41,0,100,47,0,0,0,0,0,24,0,100,100,100,75,100,0,0,33,0,50,0,17,42,10,0,5,23,0,0,0,0,0,0,0,50,0,0,13,0,0,0,0,0,0,0,100,0,0,0,17,0,0,0,0,67,0,11,50,50,83,75,75,78,24,0,0,0,100,0,0,17,20,0,0,0,0,0,0,0,0,0,0,0,0,67,33,11,0,75,NA,38,24,23
Antioquia,Buriticá,52,0,100,51,100,100,0,100,75,63,0,0,0,100,25,100,100,100,100,0,100,0,33,53,50,0,25,39,0,0,0,0,40,8,0,0,0,100,25,0,0,0,0,0,0,75,100,25,0,50,42,0,50,100,30,67,0,41,60,60,100,75,75,83,37,0,0,100,100,100,0,50,44,0,25,0,38,8,38,18,20,25,50,32,13,67,40,30,0,NA,NA,0,15,40
Antioquia,Rionegro,23,0,0,8,0,0,0,0,0,4,0,0,0,0,0,100,0,100,67,0,25,100,42,36,100,74,87,62,70,83,0,50,40,49,83,50,100,0,58,0,0,0,50,13,0,0,100,0,30,50,30,50,50,0,0,0,50,25,50,50,50,100,50,67,42,25,0,67,0,100,100,49,45,0,25,0,13,0,0,6,0,0,0,0,0,100,50,19,100,NA,NA,100,59,42
Antioquia,Cáceres,49,0,100,50,0,100,0,0,25,37,0,0,0,0,0,100,0,0,33,100,0,0,33,22,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,33,33,19,50,50,100,25,100,75,21,0,0,0,0,0,100,17,19,0,8,0,13,25,63,18,40,50,100,63,0,67,33,38,0,NA,0,0,19,22
Antioquia,Puerto Nare,10,0,100,37,0,0,0,0,0,18,0,0,0,0,0,100,0,100,67,0,0,0,0,22,0,0,0,11,0,0,0,0,0,0,0,0,0,100,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,17,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,NA,25,13,11
Antioquia,Apartadó,92,100,100,97,100,100,100,100,100,99,0,0,0,0,0,100,0,100,67,0,0,0,0,22,0,0,0,11,70,67,30,50,40,51,33,50,0,100,46,0,50,0,0,13,0,50,100,25,30,0,34,50,50,100,30,33,33,49,50,50,83,75,75,78,46,33,0,4,100,29,100,44,45,0,83,100,50,0,38,45,40,50,25,38,38,33,35,40,0,NA,NA,0,20,44
Antioquia,Puerto Triunfo,66,0,100,55,0,0,0,0,0,28,0,0,0,0,0,100,0,100,67,0,0,0,0,22,0,95,48,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,100,0,0,0,21,0,0,0,0,0,0,0,0,0,17,75,50,47,10,0,0,100,0,0,0,17,13,0,0,0,0,0,0,0,0,0,0,0,0,67,33,11,0,NA,NA,0,6,20
Antioquia,Arboletes,16,0,0,5,0,0,0,0,0,3,0,100,100,0,50,100,0,100,67,100,25,0,42,53,100,0,50,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,50,25,0,50,0,0,33,0,14,0,0,33,0,0,11,7,0,0,100,0,0,0,17,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,17
Antioquia,Pueblorrico,50,0,100,50,0,0,0,100,25,38,100,100,100,100,100,100,0,100,67,50,25,100,58,75,100,100,100,88,0,0,0,0,0,0,0,0,0,100,25,30,100,100,67,74,0,100,100,100,70,100,78,100,100,100,100,100,83,97,80,80,100,100,100,100,65,0,0,100,100,0,100,50,57,0,75,0,0,0,88,27,60,50,100,70,0,100,50,49,100,NA,NA,100,75,64
