Departamento,Año Desmovilización,Número Desmovilizados
ARAUCA,"2,012",9
ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,"2,012",0
ATLANTICO,"2,012",3
BOGOTA D.C.,"2,012",104
BOLIVAR,"2,012",8
BOYACA,"2,012",8
CALDAS,"2,012",7
CAQUETA,"2,012",48
CASANARE,"2,012",23
CAUCA,"2,012",20
CESAR,"2,012",17
CHOCO,"2,012",13
CORDOBA,"2,012",5
CUNDINAMARCA,"2,012",40
GUAINIA,"2,012",1
GUAVIARE,"2,012",7
HUILA,"2,012",48
LA GUAJIRA,"2,012",1
MAGDALENA,"2,012",9
META,"2,012",131
NARINO,"2,012",16
NORTE DE SANTANDER,"2,012",27
PUTUMAYO,"2,012",27
QUINDIO,"2,012",8
RISARALDA,"2,012",11
SANTANDER,"2,012",34
SUCRE,"2,012",4
TOLIMA,"2,012",24
VALLE DEL CAUCA,"2,012",93
VAUPES,"2,012",6
VICHADA,"2,012",0
Por establecer,"2,012",59
AMAZONAS,"2,011",1
ANTIOQUIA,"2,011",116
ARAUCA,"2,011",13
ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,"2,011",0
ATLANTICO,"2,011",7
BOGOTA D.C.,"2,011",159
BOLIVAR,"2,011",5
BOYACA,"2,011",10
CALDAS,"2,011",11
CAQUETA,"2,011",70
CASANARE,"2,011",43
CAUCA,"2,011",30
CESAR,"2,011",14
CHOCO,"2,011",15
CORDOBA,"2,011",12
CUNDINAMARCA,"2,011",52
GUAINIA,"2,011",3
GUAVIARE,"2,011",22
HUILA,"2,011",82
LA GUAJIRA,"2,011",3
MAGDALENA,"2,011",7
META,"2,011",188
NARINO,"2,011",19
NORTE DE SANTANDER,"2,011",14
PUTUMAYO,"2,011",26
QUINDIO,"2,011",23
RISARALDA,"2,011",24
SANTANDER,"2,011",30
SUCRE,"2,011",11
TOLIMA,"2,011",41
VALLE DEL CAUCA,"2,011",126
VAUPES,"2,011",19
