FECHA,DEPARTAMENTO,MUNICIPIO,DIA,HORA,BARRIO,ZONA ,CLASE DE SITIO ,ARMA O MEDIO,MOVIL VICTIMA ,MOVIL AGRESOR ,EDAD ,GENERO ,ESTADO CIVIL,CLASE EMPLEADO,PROFESION,ESCOLARIDAD,PAIS NACE,CODIGO DANE ,2015
01/01/2015 12:00:00 AM,CAUCA,POPAYÁN (CT),Jueves,9:00,MINUTO DE DIOS,URBANA,VIAS PUBLICAS,NO REPORTADO,VEHICULO,VEHICULO,24,FEMENINO,SOLTERO,EMPLEADO PARTICULAR,NO REPORTADA,TECNICO,COLOMBIA,"54,800,000",1
01/01/2015 12:00:00 AM,MAGDALENA,SANTA MARTA (CT),Jueves,22:00,SAN JOSE,URBANA,CASAS DE HABITACION,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,66,MASCULINO,DIVORCIADO,EMPLEADO PARTICULAR,AGRONOMO,SUPERIOR,COLOMBIA,"50,001,000",1
04/01/2015 12:00:00 AM,CAQUETÁ,EL PAUJIL,Domingo,4:30,VDA.  EL EDEN,RURAL,FINCAS Y SIMILARES,NO REPORTADO,VEHICULO,A PIE,36,MASCULINO,UNION LIBRE,AGRICULTOR,NO REPORTADA,TECNICO,COLOMBIA,"25,799,000",1
04/01/2015 12:00:00 AM,HUILA,TELLO,Domingo,11:00,VEREDA SAN ANDRES TELLO,RURAL,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,VEHICULO,A PIE,50,MASCULINO,UNION LIBRE,AMA DE CASA,NO REPORTADA,PRIMARIA,COLOMBIA,"76,233,000",1
06/01/2015 12:00:00 AM,CAUCA,CORINTO,Martes,13:00,20 de Agosto,URBANA,VIAS PUBLICAS,NO REPORTADO,A PIE,A PIE,22,MASCULINO,UNION LIBRE,INDEPENDIENTE,NO REPORTADA,SECUNDARIA,COLOMBIA,"25,743,000",1
10/01/2015 12:00:00 AM,VALLE,CALI (CT),Sábado,10:00,BELISARIO CAICEDO E20,URBANA,CASAS DE HABITACION,ARMA BLANCA / CORTOPUNZANTE,A PIE,VEHICULO,43,MASCULINO,UNION LIBRE,EMPLEADO PARTICULAR,NO REPORTADA,SECUNDARIA,COLOMBIA,"47,001,000",1
13/01/2015,ANTIOQUIA,CALDAS,Martes,23:50,VEREDA LA TOLVA,RURAL,ZONA SELVÁTICA,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,27,MASCULINO,UNION LIBRE,EDUCADOR,LICENCIADO,SUPERIOR,COLOMBIA,"5,360,000",1
14/01/2015,VALLE,BUENAVENTURA,Miércoles,14:30,SAN JOSE,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,VEHICULO,24,MASCULINO,SOLTERO,EMPLEADO PARTICULAR,NO REPORTADA,SECUNDARIA,COLOMBIA,"76,001,000",1
14/01/2015,VALLE,BUENAVENTURA,Miércoles,14:30,SAN JOSE,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,53,MASCULINO,SOLTERO,EMPLEADO PARTICULAR,NO REPORTADA,SECUNDARIA,COLOMBIA,"68,081,000",1
14/01/2015,BOYACÁ,TUNJA (CT),Miércoles,16:00,LOS PARQUES,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,59,MASCULINO,CASADO,COMERCIANTE,NO REPORTADA,SECUNDARIA,COLOMBIA,"68,081,000",1
