departamento,estacion,numerodecontacto,cuadrante
ValledeAburra,Estación San Javier,"3,013,926,342",9
Pasto,Estación centro,"3,218,431,146",22
Ibague,Estación de policía norte,"3,013,460,417",37
Bogotá,Estación de Policía martires,"3,002,012,619",17
Bogotá,Estación de Policía fontibon,"3,002,009,370",28
Valle,Estación de Policía Cascajal,"3,014,388,145",38
Villavicencio,Estación de Policía Villavicencio,"3,212,614,249",15
Bogotá,Estación de Policía usaquen,"3,013,460,885",56
ValledeAburra,Estación de Policía belen,"3,006,167,761",41
Cúcuta,Estación de Policía centro,"3,155,239,185",9
Bogotá,Estación de Policía suba,"3,013,460,888",87
Bucaramanga,Estación e-02 centro,"3,013,461,834",17
ValledeAburra,Estación de Policía la candelaria,"3,014,574,001",27
Pereira,Estación pereira,"3,217,746,784",12
Bogotá,Estación de Policía bosa,"3,013,460,243",60
Cartagena,Estación de Policía turbaco,"3,216,749,616",3
Bogotá,Estación de Policía barrios unidos,"3,008,054,385",12
Bogotá,Estación de Policía martires,"3,002,013,057",18
Bogotá,Estación de Policía rafael uribe,"3,013,460,367",36
Pereira,Estación cuba,"3,013,461,279",6
Cali,Estación el diamante,"3,105,243,309",14
Bogotá,Estación de Policía fontibon,"3,002,024,347",30
Cali,Estación de Policía agua blanca,"3,105,154,678",4
Antioquia,Estación Jerico,"3,206,987,369",1
Caldas,Estación de Policía Chinchina,"3,016,558,212",4
Bogotá,Estación de Policía chapinero,"3,013,460,971",39
ValledeAburra,Estación Laureles,"3,006,174,142",30
Cali,Estación la sultana,"3,014,405,015",7
Cúcuta,Estación de Policía ospina perez,"3,174,492,190",3
Barranquilla,Estación de Policía san jose,"3,013,461,819",2
Cundinamarca,Estación de Policía Girardot,"3,004,719,908",5
Bogotá,Estación de Policía kennedy,"3,002,030,686",4
ValledeAburra,Estación Laureles,"3,127,156,472",12
Cartagena,Estación de Policía bocagrande,"3,215,049,835",12
Popayán,Estación de policía sur popayán,"3,014,383,067",17
Pasto,Estación sur,"3,218,431,172",24
Bogotá,Estación de Policía kennedy,"3,017,574,254",45
Valle,Estación de Policía palmira,"3,014,406,366",25
Bogotá,Estación de Policía engativa,"3,002,020,920",30
ValledeAburra,Estación de Policía doce de octubre,"3,127,130,638",3
ValledeAburra,Estación de Policía poblado,"3,127,168,822",6
Popayán,Estación de Policía timbio,"3,014,392,546",1
Cúcuta,Estación de Policía centro,"3,157,714,018",5
Risaralda,Estación de Policía santa rosa de cabal,"3,218,377,437",7
Pereira,Estación pereira,"3,013,461,309",26
ValledeAburra,Estación de Policía sabaneta,"3,127,218,240",2
Bogotá,Estación de Policía fontibon,"3,017,565,180",9
Pasto,Estación sur,"3,218,431,173",27
Bogotá,Estación de Policía kennedy,"3,013,460,181",101
Cali,Estación el diamante,"3,105,252,947",13
SantaMarta,Estación de Policía distrito turistico de santa marta,"3,008,743,840",13
Cali,Estación desepaz,"3,105,274,028",12
Quindio,Estación de Policía quimbaya,"3,122,902,851",3
Bogotá,Estación de Policía san cristobal,"3,017,553,606",25
ValledeAburra,Estación de Policía la candelaria,"3,006,150,275",46
Bogotá,Estación de Policía kennedy,"3,008,093,552",85
Bogotá,Estación de Policía bosa,"3,008,091,632",1
ValledeAburra,Estación de Policía la candelaria,"3,014,580,344",33
Cali,Estación la flora,"3,105,316,935",3
ValledeAburra,Estación Girardota,"3,127,210,928",1
ValledeAburra,Estación de Policía envigado,"3,127,149,931",8
Cali,Estación el vallado,"3,105,242,912",6
Bogotá,Estación de Policía martires,"3,017,606,130",2
Bucaramanga,Estación floridablanca centro,"3,013,461,882",6
ValledeAburra,Estación de Policía villa hermosa,"3,127,218,409",3
Bogotá,Estación de Policía barrios unidos,"3,017,563,799",21
Bogotá,Estación de Policía usme,"3,017,640,602",27
Bogotá,Estación de Policía bosa,"3,017,559,485",26
Cali,Estación de Policía la rivera,"3,105,325,579",4
Meta,Estación de Policía Castilla la Nueva,"3,044,770,820",1
Bogotá,Estación de Policía bosa,"3,017,607,021",15
Bogotá,Estación de Policía bosa,"3,013,460,255",65
Bogotá,Estación de Policía martires,"3,017,538,218",21
ValledeAburra,Estación de Policía doce de octubre,"3,006,164,544",16
Cartagena,Estación de Policía virgen y turistica,"3,135,632,091",8
Valle,Estación de Policía Cascajal,"3,014,386,471",9
Bogotá,Estación de Policía suba,"3,013,460,861",95
Cali,Estación el guabal,"3,014,380,286",8
Bogotá,Estación de Policía candelaria,"3,014,998,349",12
Casanare,Estación de Policía aguazul,"3,016,566,519",1
Bogotá,Estación de Policía kennedy,"3,002,004,820",81
Nariño,Estación de Policía San Andrés de Tumaco,"316,585,295",16
Cundinamarca,Estación de Policía Choconta,"3,124,677,524",1
Bogotá,Estación de Policía barrios unidos,"3,017,553,291",13
Cúcuta,Estación de Policía centro,"3,152,104,312",11
ValledeAburra,Estación San Javier,"3,013,462,020",14
Popayán,Estación de policía sur popayán,"3,014,388,813",34
Villavicencio,Estación de Policía Centauros,"3,214,530,608",9
MagdalenaMedio,Estación de Policía puerto berrio,"3,127,668,553",4
Ibague,Estación de policía centro,"3,013,460,391",10
Barranquilla,Estación de Policía galapa,"3,015,796,523",2
Villavicencio,Estación de Policía Fundadores,"3,214,509,503",31
Cali,Estación el vallado,"3,105,238,713",1
Meta,Estación de Policía Puerto Gaitan,"3,112,919,681",1
ValledeAburra,Estación de Policía la castilla,"3,006,147,256",24
SantaMarta,Estación de Policía rodrigo de bastidas,"3,008,742,049",8
Bogotá,Estación de Policía candelaria,"3,002,002,944",2
Pereira,Estación pereira,"3,138,602,403",6
Bogotá,Estación de Policía martires,"3,002,018,481",3
Bogotá,Estación de Policía barrios unidos,"3,008,055,881",16
Bogotá,Estación de Policía suba,"3,002,006,547",5
Bogotá,Estación de Policía fontibon,"3,017,533,875",5
Pereira,Estación la virginia,"3,122,819,868",1
Valle,Estación de Policía tulua,"3,016,521,919",17
Cali,Estación desepaz,"3,105,334,741",18
Bucaramanga,Estación giron centro,"3,013,461,918",8
ValledeAburra,Estación de Policía envigado,"3,014,432,761",2
ValledeAburra,Estación de Policía envigado,"3,014,441,895",14
ValledeAburra,Estación de Policía itagui,"3,127,215,840",10
Bogotá,Estación de Policía martires,"3,008,050,173",5
ValledeAburra,Estación de Policía doce de octubre,"3,127,212,577",1
Valle,Estación de Policía Cascajal,"3,014,396,363",12
Cúcuta,Estación de Policía ospina perez,"3,155,775,960",5
Cali,Estación la flora,"3,014,396,883",12
Pereira,Estación pereira,"3,117,739,781",3
Valle,Estación de Policía tulua,"3,016,527,458",8
ValledeAburra,Estación de Policía belen,"3,014,382,060",19
Cali,Estación de Policía agua blanca,"3,014,654,290",7
ValledeAburra,Estación de Policía la castilla,"3,006,165,498",39
Bogotá,Estación de Policía suba,"3,013,460,950",99
Cundinamarca,Estación de Policía Caqueza,"3,114,915,303",1
Bogotá,Estación de Policía martires,"3,002,006,785",20
ValledeAburra,Estación Laureles,"3,006,146,754",16
Cúcuta,Estación de Policía centro,"3,155,775,703",10
Bogotá,Estación de Policía usaquen,"3,008,053,048",33
Bogotá,Estación de Policía suba,"3,002,000,955",57
Ibague,Estación de policía centro,"3,013,460,385",8
Pereira,subEstación combia,"3,013,461,300",1
Cundinamarca,Estación de Policía Soacha Centro,"3,203,780,498",3
SantaMarta,Estación de Policía rodrigo de bastidas,"3,174,317,231",1
Bogotá,Estación de Policía santa fe,"3,017,562,894",17
Bogotá,Estación de Policía barrios unidos,"3,013,461,272",34
Ibague,Estación de policía sur,"3,013,460,547",1
Valle,Estación de Policía tulua,"3,174,418,783",12
Bogotá,Estación de Policía bosa,"3,007,410,578",30
Bucaramanga,Estación la cumbre,"3,013,461,890",1
Cali,subEstación juanchito,"3,105,235,386",1
Cali,Estación el diamante,"3,105,239,832",11
Cúcuta,Estación de Policía san cayetano,"3,155,779,434",2
Villavicencio,Estación de Policía Cumaral,"3,213,419,589",3
NortedeSantander,Estación ocaña,"3,016,557,807",2
Bogotá,Estación de Policía teusaquillo,"3,002,003,351",12
ValledeAburra,Estación de Policía la candelaria,"3,014,653,098",39
Villavicencio,Estación de Policía Villavicencio,"3,212,617,262",18
Bogotá,Estación de Policía ciudad bolivar,"3,013,460,380",78
Neiva,Estación de Policía neiva,"3,016,558,497",25
Nariño,Estación de Policía tuquerres,"3,147,044,525",4
Neiva,Estación de Policía neiva,"3,016,555,139",50
ValledeAburra,Estación de Policía aranjuez,"3,006,154,814",23
MagdalenaMedio,Estación de Policía Puerto Boyaca,"3,133,152,461",3
Cartagena,Estación de Policía caribe norte,"3,216,748,310",17
Bogotá,Estación de Policía puente aranda,"3,013,460,699",26
Popayán,Estación de policía norte popayán,"3,014,406,627",34
Cali,Estación desepaz,"3,105,124,248",9
Neiva,Estación de Policía neiva,"3,016,555,800",40
ValledeAburra,Estación de Policía la estrella,"3,127,209,585",5
Villavicencio,Estación de Policía Fundadores,"3,212,854,800",21
Bogotá,Estación de Policía bosa,"3,013,460,254",64
Bogotá,Estación de Policía santa fe,"3,007,923,761",13
Santander,Estación barbosa,"3,118,827,309",3
Bogotá,Estación de Policía suba,"3,008,006,956",55
Bucaramanga,Estación e-01 norte,"3,013,460,620",11
Valle,Estación de Policía cartago,"3,014,408,002",5
Valle,Estación de Policía buga,"3,014,396,565",2
Cali,Estación desepaz,"3,105,233,193",6
Villavicencio,Estación de Policía Fundadores,"3,212,861,984",27
Popayán,Estación de policía sur popayán,"3,014,386,292",29
Cartagena,Estación de Policía el pozon,"3,216,750,874",6
Cali,Estación limonar,"3,105,300,623",1
Cali,Estación el lido,"3,105,289,879",3
ValledeAburra,Estación de Policía envigado,"3,127,146,399",10
Cali,Estación de Policía municipal,"3,014,397,701",7
Cali,Estación desepaz,"3,105,292,221",17
Bogotá,Estación de Policía ciudad bolivar,"3,013,460,928",74
Santander,Estación socorro,"3,212,472,057",2
Bogotá,Estación de Policía suba,"3,002,000,614",53
Cartagena,Estación de Policía el pozon,"3,006,900,653",8
Bogotá,Estación de Policía ciudad bolivar,"3,008,092,681",39
Caldas,Estación de Policía Chinchina,"3,016,567,685",1
Ibague,Estación de policía norte,"3,013,460,447",7
Bogotá,Estación de Policía barrios unidos,"3,008,087,004",10
Bogotá,Estación de Policía ciudad bolivar,"3,013,460,379",79
SantaMarta,Estación de Policía pueblo viejo,"3,174,333,864",2
Bucaramanga,Estación floridablanca centro,"3,013,461,876",2
Bogotá,Estación de Policía ciudad bolivar,"3,008,085,957",10
Bucaramanga,Estación e-03 sur,"3,013,461,841",4
Bogotá,Estación de Policía suba,"3,002,011,394",18
ValledeAburra,Estación de Policía San Antonio de Prado,"3,014,436,791",5
Bogotá,Estación de Policía martires,"3,013,460,717",27
Ibague,Estación de policía centro,"3,013,460,400",16
Cali,Estación el vallado,"3,105,322,238",3
Bucaramanga,Estación e-01 norte,"3,013,460,622",13
Cartagena,Estación de Policía virgen y turistica,"3,013,461,270",13
Cartagena,Estación de Policía los caracoles,"3,126,738,261",20
Bogotá,Estación de Policía antonio nariño,"3,013,460,744",24
Villavicencio,Estación de Policía Fundadores,"3,212,850,966",17
ValledeAburra,Estación de Policía la candelaria,"3,127,143,774",2
Quindio,Estación Armenia,"3,128,286,665",11
ValledeAburra,Estación Laureles,"3,005,611,723",28
Pereira,subEstación la graminea,"3,206,889,234",1
Bogotá,Estación de Policía bosa,"3,013,460,230",76
Bogotá,Estación de Policía kennedy,"3,008,083,986",44
Cartagena,Estación de Policía los caracoles,"3,135,430,867",8
Ibague,Estación de policía norte,"3,013,460,449",9
Uraba,Estación de Policíaturbo,"3,014,391,323",3
Cali,Estación fray damian,"3,014,653,242",10
Cali,Estación melendez,"3,105,287,793",1
Bogotá,Estación de Policía puente aranda,"3,008,055,627",21
Pereira,Estación pereira,"3,013,461,326",29
Bogotá,Estación de Policía bosa,"3,002,011,778",2
Bogotá,Estación de Policía candelaria,"3,008,057,772",9
Bogotá,Estación de Policía santa fe,"3,013,460,685",44
Bogotá,Estación de Policía fontibon,"3,013,460,659",3
Bogotá,Estación de Policía chapinero,"3,002,004,366",15
Villavicencio,Estación de Policía Villavicencio,"3,212,617,659",21
Bogotá,Estación de Policía kennedy,"3,008,004,061",33
Cali,Estación de Policía jamundi,"3,014,657,212",7
Barranquilla,Estación de Policía ciudadela,"3,015,796,354",9
Bogotá,Estación de Policía bosa,"3,017,537,922",37
Bogotá,Estación de Policía kennedy,"3,002,019,499",15
Bogotá,Estación de Policía santa fe,"3,017,534,456",24
Cali,Estación los mangos,"3,014,383,803",21
Bogotá,Estación de Policía tunjuelito,"3,017,607,935",17
Bogotá,Estación de Policía santa fe,"3,017,572,169",27
Bogotá,Estación de Policía ciudad bolivar,"3,008,010,150",36
Guajira,Estación de Policía Maicao,"3,168,022,885",4
Bogotá,Estación de Policía kennedy,"3,017,559,427",12
ValledeAburra,Estación de Policía itagui,"3,127,209,633",4
Huila,Estación de Policía la plata,"3,016,528,522",2
Cali,Estación mariano ramos,"3,105,203,901",2
Bogotá,Estación de Policía santa fe,"3,007,923,456",4
Bogotá,Estación de Policía bosa,"3,002,021,996",38
Bogotá,Estación de Policía chapinero,"3,017,559,541",9
Bucaramanga,Estación e-02 centro,"3,013,461,831",15
Cúcuta,Estación de Policía libertad,"3,174,801,840",3
Popayán,Estación de policía norte popayán,"3,014,404,177",32
Antioquia,Estación de Policía don Matias,"3,113,877,953",1
Bogotá,Estación de Policía barrios unidos,"3,007,410,445",19
Bogotá,Estación de Policía antonio nariño,"3,017,536,961",5
Cali,Estación de Policía jamundi,"3,014,647,540",8
Neiva,Estación de Policía neiva,"3,016,528,973",67
ValledeAburra,Estación de Policía bello,"3,127,228,616",5
Bogotá,Estación de Policía antonio nariño,"3,008,084,864",8
Tolima,Estación de Policía espinal,"3,203,446,966",5
ValledeAburra,Estación de Policía envigado,"3,127,133,166",5
ValledeAburra,Estación de Policía poblado,"3,006,172,919",17
Bogotá,Estación de Policía martires,"3,004,021,994",42
Valle,Estación de Policía andalucia,"3,206,280,057",1
Risaralda,Estación de Policía santa rosa de cabal,"3,117,098,920",4
Bogotá,Estación de Policía engativa,"3,002,012,586",34
Bogotá,Estación de Policía fontibon,"3,008,000,384",33
Bogotá,Estación de Policía tunjuelito,"3,017,534,119",9
Cartagena,Estación de Policía virgen y turistica,"3,106,030,114",4
Uraba,Estación de Policía apartado,"3,016,537,663",6
Cali,Estación de Policía municipal,"3,105,183,700",1
Pereira,Estación ciudadela del cafe,"3,013,460,988",4
Cartagena,Estación de Policía los caracoles,"3,013,461,783",3
Bucaramanga,Estación e-03 sur,"3,013,461,840",5
Barranquilla,Estación de Policía norte,"3,013,461,742",13
Bogotá,Estación de Policía engativa,"3,017,536,385",46
Cali,Estación mariano ramos,"3,014,381,224",12
Tolima,Estación chaparral,"3,134,749,434",1
Bucaramanga,Estación e-02 centro,"3,013,460,647",8
Ibague,Estación de policía centro,"3,013,460,409",26
Ibague,Estación de policía sur,"3,013,460,526",19
Risaralda,Estación de Policía santa rosa de cabal,"3,212,852,765",2
SantaMarta,Estación de Policía cienaga,"3,174,428,717",1
Popayán,Estación de policía sur popayán,"3,014,387,313",30
ValledeAburra,Estación de Policía San Antonio de Prado,"3,043,576,884",4
Tolima,Estación libano,"3,112,173,832",1
Cali,subEstación juanchito,"3,014,647,433",2
Cúcuta,Estación de Policía centro,"3,158,392,907",4
ValledeAburra,Estación de Policía San Antonio de Prado,"3,006,160,548",10
Ibague,Estación de policía centro,"3,013,460,410",27
Bogotá,Estación de Policía san cristobal,"3,002,022,628",30
Bucaramanga,Estación e-03 sur,"3,013,461,843",2
ValledeAburra,Estación de Policía bello,"3,127,223,045",12
Pereira,Estación cuba,"3,102,233,902",12
Cali,Estación la sultana,"3,014,388,295",8
Cali,Estación de Policía agua blanca,"3,105,155,709",1
SantaMarta,Estación de Policía sitio nuevo,"3,174,411,134",1
ValledeAburra,Estación de Policía belen,"3,127,224,435",10
Bogotá,Estación de Policía fontibon,"3,008,096,609",25
Cundinamarca,Estación de Policía Chicó,"3,004,724,855",2
ValledeAburra,Estación Laureles,"3,006,175,015",17
Caldas,Estación de Policía Manizales,"3,217,044,359",21
ValledeAburra,Estación de Policía la candelaria,"3,013,707,357",28
Caldas,Estación de Policía Manizales,"3,217,105,708",1
Valle,Estación de Policía cartago,"3,014,406,749",1
Cali,Estación el vallado,"3,105,327,011",5
Bogotá,Estación de Policía santa fe,"3,017,537,597",15
Bogotá,Estación de Policía teusaquillo,"3,013,460,881",36
ValledeAburra,Estación de Policía envigado,"3,127,212,009",23
Bogotá,Estación de Policía santa fe,"3,013,460,675",50
Valle,Estación de Policía alcala,"3,174,583,481",1
Bogotá,Estación de Policía usme,"3,013,460,293",36
ValledeAburra,Estación de Policía San Antonio de Prado,"3,127,153,976",1
Bogotá,Estación de Policía teusaquillo,"3,002,022,302",15
Bogotá,Estación de Policía usaquen,"3,013,460,850",47
Bogotá,Estación de Policía ciudad bolivar,"3,013,460,859",75
Bogotá,Estación de Policía suba,"3,013,460,916",92
Bogotá,Estación de Policía puente aranda,"3,008,083,038",7
Antioquia,Estación Angelopolis,"3,206,811,106",1
Boyaca,Estación de Policía de Policía Sogamoso,"3,004,604,285",2
Bogotá,Estación de Policía usaquen,"3,013,460,980",51
ValledeAburra,Estación de Policía belen,"3,127,223,051",13
ValledeAburra,Estación de Policía manrique,"3,127,212,370",3
ValledeAburra,Estación de Policía la candelaria,"3,014,572,054",20
Bucaramanga,Estación floridablanca centro,"3,013,461,875",1
Bogotá,Estación de Policía bosa,"3,013,460,228",77
Popayán,Estación de policía sur popayán,"3,014,391,549",38
Cundinamarca,Estación de Policía Cajica,"3,138,890,931",1
Cartagena,Estación de Policía el pozon,"3,103,610,956",4
Villavicencio,Estación de Policía Centauros,"3,214,547,222",16
Valle,Estación de Policía el cairo,"3,127,693,925",1
Barranquilla,Estación de Policía simon bolivar,"3,013,461,343",12
Cúcuta,Estación de Policía libertad,"3,177,734,839",7
Bogotá,Estación de Policía chapinero,"3,017,577,194",27
Pereira,subEstación la florida,"3,206,453,668",1
Caldas,Estación de Policía La Dorada,"3,016,558,276",3
Popayán,Estación de Policía coconuco,"3,012,470,003",1
Bogotá,Estación de Policía teusaquillo,"3,017,606,133",5
Ibague,Estación de policía centro,"3,013,460,399",17
Bogotá,Estación de Policía santa fe,"3,017,555,845",16
Bogotá,Estación de Policía ciudad bolivar,"3,002,003,505",48
Valle,Estación de Policía palmira,"3,014,400,581",7
Bogotá,Estación de Policía usme,"3,008,000,534",10
SantaMarta,Estación de Policía rodrigo de bastidas,"3,008,742,626",14
Popayán,Estación de policía sur popayán,"3,014,380,512",14
Quindio,Estación Armenia,"3,128,179,240",1
Cúcuta,Estación de Policía ospina perez,"3,158,050,735",6
Antioquia,Estación Rionegro,"3,168,344,560",1
Risaralda,Estación de Policía marsella,"3,206,481,933",1
Bogotá,Estación de Policía kennedy,"3,017,556,427",29
