departamento,estacion,numerodecontacto,cuadrante
Bogotá,Estación de Policía fontibon,"3,008,082,442",24
Bogotá,Estación de Policía suba,"3,007,458,884",75
Valle,Estación de Policía tulua,"3,016,521,417",18
Valle,Estación de Policía Cascajal,"3,014,408,292",36
Bogotá,Estación de Policía chapinero,"3,013,460,956",37
SantaMarta,Estación de Policía la paz,"3,008,738,898",2
Bogotá,Estación de Policía teusaquillo,"3,007,458,820",27
Cesar,Estación de Policía Aguachica,"3,154,981,463",3
Bogotá,Estación de Policía engativa,"3,007,458,724",61
SantaMarta,Estación de Policía el rodadero,"3,008,740,985",2
Pereira,subEstación tres puertas,"3,136,682,008",1
Cali,Estación de Policía alfonso lopez,"3,105,313,456",5
Cartagena,Estación de Policía centro historico,"3,116,837,723",24
Pasto,Estación sur,"3,218,431,174",25
Cartagena,Estación de Policía los caracoles,"3,135,495,830",5
Pasto,Estación sur,"3,218,431,158",10
Bogotá,Estación de Policía chapinero,"3,017,566,332",29
Barranquilla,Estación de Policía riomar,"3,013,461,743",2
Bogotá,Estación de Policía suba,"3,013,460,872",88
Bogotá,Estación de Policía ciudad bolivar,"3,002,013,104",18
Cartagena,Estación de Policía nuevo bosque,"3,106,501,550",15
Neiva,Estación de Policía neiva,"3,016,558,013",16
Barranquilla,Estación de Policía los almendros,"3,013,461,214",5
Pasto,Estación sur,"3,218,431,150",2
Bogotá,Estación de Policía kennedy,"3,002,010,467",74
ValledeAburra,Estación de Policía itagui,"3,014,432,770",7
SantaMarta,Estación de Policía cienaga,"3,016,871,850",10
Bogotá,Estación de Policía ciudad bolivar,"3,002,013,451",42
Tolima,Estación de Policía espinal,"3,203,448,162",4
Valle,Estación de Policía el aguila,"3,136,276,447",1
ValledeAburra,Estación San Javier,"3,127,217,133",2
Bucaramanga,Estación e-03 sur,"3,013,461,871",16
SantaMarta,Estación de Policía rodrigo de bastidas,"3,008,748,768",6
Bogotá,Estación de Policía tunjuelito,"3,002,002,262",10
Barranquilla,Estación de Policía san jose,"3,013,461,239",6
Cali,Estación el diamante,"3,105,279,235",10
ValledeAburra,Estación de Policía la candelaria,"3,006,151,511",52
Valle,Estación de Policía tulua,"3,174,328,711",15
Cartagena,Estación de Policía bocagrande,"3,106,326,992",10
Guajira,Estación de Policía Maicao,"3,016,139,646",7
Cartagena,Estación de Policía centro historico,"3,106,331,219",12
Bogotá,Estación de Policía chapinero,"3,013,460,883",51
Bogotá,Estación de Policía santa fe,"3,008,006,257",18
Bogotá,Estación de Policía kennedy,"3,007,924,624",90
Cali,Estación la cumbre,"3,105,274,904",1
Cartagena,Estación de Policía el pozon,"3,215,046,314",12
Villavicencio,Estación de Policía Fundadores,"3,212,814,403",5
Bucaramanga,Estación e-03 sur,"3,013,461,851",7
Valle,Estación de Policía palmira,"3,014,400,149",6
Neiva,Estación de Policía neiva,"3,016,528,687",63
Cali,Estación melendez,"3,105,286,742",4
Sucre,Estación de Policía tolu,"3,016,567,450",3
Bucaramanga,Estación e-03 sur,"3,013,461,849",6
Meta,Estación de Policía San Martin,"3,016,553,720",2
ValledeAburra,Estación de Policía buenos aires,"3,017,423,271",5
Popayán,Estación de policía norte popayán,"3,014,406,899",37
Bogotá,Estación de Policía kennedy,"3,017,534,677",54
Bogotá,Estación de Policía bosa,"3,008,098,186",28
Caldas,Estación de Policía Manizales,"3,217,046,916",16
Valle,Estación de Policía tulua,"3,016,521,537",20
Arauca,Estación Arauquita,"3,143,539,362",1
Bogotá,Estación de Policía santa fe,"3,017,537,326",1
Pereira,Estación cuba,"3,104,981,394",9
Bogotá,Estación de Policía san cristobal,"3,008,093,295",38
Barranquilla,Estación de Policía galapa,"3,013,461,801",3
Cali,Estación de Policía jamundi,"3,136,643,265",5
Quindio,Estación Armenia,"3,215,121,397",23
Cúcuta,Estación de Policía villa del rosario,"3,174,338,113",4
SantaMarta,Estación de Policía distrito turistico de santa marta,"3,008,744,105",9
Bogotá,Estación de Policía tunjuelito,"3,002,006,865",11
Putumayo,Estación de Policía puerto asis,"3,118,397,321",5
Cali,Estación de Policía nueva floresta,"3,014,401,928",6
Bogotá,Estación de Policía ciudad bolivar,"3,008,059,422",16
Bogotá,Estación de Policía suba,"3,017,606,901",70
Cartagena,Estación de Policía centro historico,"3,106,320,536",2
Bogotá,Estación de Policía rafael uribe,"3,008,004,800",20
Bogotá,Estación de Policía suba,"3,007,494,998",77
Cali,Estación de Policía agua blanca,"3,014,399,864",8
Barranquilla,Estación de Policía los almendros,"3,015,780,348",2
ValledeAburra,Estación de Policía la castilla,"3,006,147,704",28
Cartagena,Estación de Policía caribe norte,"3,106,012,383",13
Bogotá,Estación de Policía santa fe,"3,013,460,660",47
Cúcuta,Estación de Policía los patios,"3,153,273,463",4
Bogotá,Estación de Policía fontibon,"3,002,023,164",34
Bogotá,Estación de Policía suba,"3,007,924,210",64
Bogotá,Estación de Policía engativa,"3,008,049,797",26
Cartagena,Estación de Policía los caracoles,"3,218,212,395",21
Cali,Estación melendez,"3,105,304,979",3
Bucaramanga,Estación e-02 centro,"3,013,460,648",9
Pereira,subEstación el chocho,"3,146,271,199",1
Cundinamarca,Estación de Policía la Capilla,"3,004,682,079",2
Cali,Estación el vallado,"3,014,645,108",20
ValledeAburra,Estación de Policía aranjuez,"3,014,405,836",14
Barranquilla,Estación de Policía soledad centro historico,"3,015,796,257",9
Bucaramanga,Estación floridablanca centro,"3,013,461,879",3
Pereira,Estación ciudadela del cafe,"3,105,114,967",2
ValledeAburra,Estación Laureles,"3,006,174,558",22
Barranquilla,Estación de Policía galapa,"3,015,796,363",4
Cali,Estación de Policía yumbo,"3,105,298,666",7
Pasto,Estación sur,"3,218,431,163",15
Cesar,Estación de Policía Aguachica,"3,186,926,493",5
Bogotá,Estación de Policía bosa,"3,013,460,253",63
Barranquilla,Estación de Policía ciudadela,"3,013,461,209",14
Ibague,Estación de policía sur,"3,013,460,533",10
Boyaca,Estación de Policía de Policía Sogamoso,"3,004,603,859",1
Bogotá,Estación de Policía kennedy,"3,017,575,104",67
Bogotá,Estación de Policía puente aranda,"3,017,536,692",1
Cartagena,Estación de Policía virgen y turistica,"3,106,029,081",3
Pereira,Estación de Policía dos quebradas,"3,104,064,730",8
Villavicencio,Estación de Policía Centauros,"3,214,542,467",13
Villavicencio,Estación de Policía Villavicencio,"3,212,558,312",5
Valle,Estación de Policía palmira,"3,014,403,064",14
Cali,Estación junin,"3,014,671,004",7
Bogotá,Estación de Policía rafael uribe,"3,017,572,543",19
Cali,Estación junin,"3,014,670,823",8
Bogotá,Estación de Policía ciudad bolivar,"3,007,410,438",59
Bogotá,Estación de Policía teusaquillo,"3,008,051,275",19
Valle,Estación de Policía guacari,"3,215,001,070",1
Barranquilla,Estación de Policía simon bolivar,"3,013,461,203",4
ValledeAburra,Estación de Policía la candelaria,"3,012,470,348",14
Pasto,Estación sur,"3,218,431,155",7
ValledeAburra,Estación de Policía aranjuez,"3,006,158,846",22
Bogotá,Estación de Policía ciudad bolivar,"3,002,021,416",19
Cali,Estación de Policía nueva floresta,"3,105,221,426",2
Cartagena,Estación de Policía nuevo bosque,"3,126,980,393",9
Bogotá,Estación de Policía martires,"3,013,460,714",28
Antioquia,Estación Guarne,"3,147,905,876",1
Bogotá,Estación de Policía suba,"3,013,460,874",85
Cartagena,Estación de Policía centro historico,"3,013,461,200",19
Ibague,Estación de policía norte,"3,013,460,494",6
Bogotá,Estación de Policía san cristobal,"3,008,051,216",39
Bogotá,Estación de Policía barrios unidos,"3,013,461,746",36
Bucaramanga,Estación piedecuesta centro,"3,013,461,920",2
ValledeAburra,Estación de Policía poblado,"3,006,173,401",14
Cali,Estación los mangos,"3,014,393,663",17
Bogotá,Estación de Policía santa fe,"3,008,094,175",29
Meta,Estación de Policía Granada,"3,016,557,945",3
Ibague,Estación de policía norte,"3,013,460,415",38
Bogotá,Estación de Policía suba,"3,007,924,347",27
Popayán,Estación de policía sur popayán,"3,014,408,825",6
Cali,Estación de Policía floralia,"3,105,305,902",1
Cundinamarca,Estación de Policía Girardot,"3,013,460,933",2
Magdalena,Estación de Policía Fundación,"3,016,558,550",4
Bogotá,Estación de Policía antonio nariño,"3,008,096,769",17
Arauca,Estación Cravo Norte,"3,203,061,818",1
Santander,Estación de Policía matanza,"3,112,872,141",1
Cali,Estación el vallado,"3,105,335,224",11
Barranquilla,Estación de Policía ciudadela,"3,015,796,464",2
Bogotá,Estación de Policía engativa,"3,007,458,741",60
ValledeAburra,Estación de Policía la candelaria,"3,127,216,299",1
Cartagena,Estación de Policía caribe norte,"3,135,637,153",23
Cali,Estación junin,"3,105,285,621",2
ValledeAburra,Estación de Policía bello,"3,127,138,754",1
Bogotá,Estación de Policía ciudad bolivar,"3,002,020,111",28
SantaMarta,Estación de Policía cienaga,"3,016,714,480",5
ValledeAburra,Estación de Policía bello,"3,127,225,295",9
Santander,Estación san gil,"3,182,507,515",1
ValledeAburra,Estación de Policía la castilla,"3,006,167,249",41
Bogotá,Estación de Policía suba,"3,013,460,951",89
Valle,Estación de Policía Restrepo,"3,104,579,308",1
Pasto,Estación centro,"3,218,431,130",6
Bogotá,Estación de Policía ciudad bolivar,"3,002,008,663",53
Bogotá,Estación de Policía suba,"3,013,460,919",90
Cundinamarca,Estación de Policía San Mateo,"3,004,686,191",3
ValledeAburra,Estación Laureles,"3,006,150,251",6
ValledeAburra,Estación de Policía la candelaria,"3,127,146,217",9
Bogotá,Estación de Policía chapinero,"3,013,460,972",44
Cali,Estación la flora,"3,014,384,171",13
Cali,Estación los mangos,"3,105,198,623",12
Bogotá,Estación de Policía usme,"3,008,090,613",12
ValledeAburra,Estación de Policía la castilla,"3,006,150,131",26
Villavicencio,Estación de Policía Villavicencio,"3,212,616,616",17
Barranquilla,Estación de Policía soledad centro historico,"3,013,461,787",1
Bogotá,Estación de Policía engativa,"3,002,024,680",19
Cali,Estación la sultana,"3,014,380,323",9
ValledeAburra,Estación de Policía belen,"3,127,139,818",14
Bogotá,Estación de Policía fontibon,"3,002,016,575",6
Valle,Estación de Policía tulua,"3,016,521,439",23
SantaMarta,Estación de Policía cienaga,"3,016,714,413",6
Cali,Estación san francisco,"3,105,325,593",3
Cartagena,Estación de Policía centro historico,"3,106,302,174",15
Bogotá,Estación de Policía san cristobal,"3,002,018,240",41
Bogotá,Estación de Policía suba,"3,008,058,671",40
Pereira,Estación ciudadela del cafe,"3,105,321,426",1
Bogotá,Estación de Policía santa fe,"3,017,537,128",30
Pasto,Estación centro,"3,218,431,139",15
Bogotá,Estación de Policía candelaria,"3,007,411,635",8
Bogotá,Estación de Policía usaquen,"3,017,553,379",18
ValledeAburra,Estación de Policía la candelaria,"3,006,151,655",60
Cúcuta,Estación de Policía libertad,"3,155,838,002",10
Neiva,Estación de Policía neiva,"3,016,530,055",58
ValledeAburra,Estación de Policía la castilla,"3,127,153,838",4
Bogotá,Estación de Policía kennedy,"3,002,013,734",34
Valle,Estación de Policía Cascajal,"3,014,399,311",17
Cartagena,Estación de Policía el pozon,"3,103,611,345",15
Barranquilla,Estación de Policía puerto colombia,"3,013,461,394",3
Neiva,Estación de Policía neiva,"3,016,529,096",69
Bogotá,Estación de Policía kennedy,"3,008,055,477",40
Bogotá,Estación de Policía engativa,"3,007,924,564",44
ValledeAburra,Estación de Policía belen,"3,127,218,724",4
Bogotá,Estación de Policía santa fe,"3,002,013,902",34
Bogotá,Estación de Policía san cristobal,"3,017,557,443",12
Bogotá,Estación de Policía teusaquillo,"3,013,460,864",34
Bogotá,Estación de Policía santa fe,"3,013,460,672",51
Valle,Estación de Policía sevilla,"3,137,041,169",2
Barranquilla,Estación de Policía bosque,"3,013,461,348",7
Bucaramanga,Estación e-02 centro,"3,013,460,650",10
Bogotá,Estación de Policía suba,"3,008,096,363",30
Valle,Estación de Policía palmira,"3,014,406,541",23
Neiva,Estación de Policía neiva,"3,016,558,077",8
ValledeAburra,Estación de Policía bello,"3,127,214,739",4
Cúcuta,Estación de Policía belen,"3,155,838,448",4
Barranquilla,Estación de Policía centro historico,"3,013,461,400",23
Bogotá,Estación de Policía suba,"3,013,460,832",107
Bogotá,Estación de Policía puente aranda,"3,013,460,698",27
Cali,Estación mariano ramos,"3,014,655,474",13
Bucaramanga,Estación e-02 centro,"3,013,460,640",4
Cali,Estación de Policía agua blanca,"3,014,654,719",9
Bucaramanga,Estación giron centro,"3,013,461,917",7
Cundinamarca,Estación de Policía Compartir,"3,203,776,780",8
Cali,Estación de Policía la rivera,"3,014,655,736",5
Santander,Estación san vicente de chucuri,"3,102,304,643",1
Quindio,Estación Armenia,"3,128,227,221",12
ValledeAburra,Estación Laureles,"3,127,134,014",8
Cali,Estación de Policía yumbo,"3,105,305,109",6
Neiva,Estación de Policía neiva,"3,016,528,155",73
Tolima,Estación de Policía melgar,"3,014,392,833",1
Antioquia,Estación Caucasia,"3,148,446,209",1
Bogotá,Estación de Policía kennedy,"3,002,012,683",13
Bogotá,Estación de Policía puente aranda,"3,017,560,026",5
Bogotá,Estación de Policía san cristobal,"3,013,460,339",54
Cúcuta,Estación de Policía libertad,"3,155,836,411",1
Pereira,Estación de Policía dos quebradas,"3,116,405,685",13
Bogotá,Estación de Policía usaquen,"3,013,460,934",53
Caldas,Estación de Policía salamina,"3,016,557,452",2
Cartagena,Estación de Policía bocagrande,"3,106,396,960",3
SantaMarta,Estación de Policía distrito turistico de santa marta,"3,008,748,059",26
Bogotá,Estación de Policía engativa,"3,008,001,522",38
Bogotá,Estación de Policía barrios unidos,"3,013,461,234",29
SantaMarta,Estación de Policía rodrigo de bastidas,"3,008,742,010",17
ValledeAburra,Estación de Policía villa hermosa,"3,127,229,446",6
Antioquia,Estación Caucasia,"3,148,451,116",3
Cali,Estación de Policía la rivera,"3,105,284,588",2
SantaMarta,Estación de Policía el rodadero,"3,008,744,732",7
Pereira,Estación cuba,"3,137,025,266",10
NortedeSantander,Estación ocaña,"3,016,558,413",5
Cali,Estación los mangos,"3,105,251,510",11
Bogotá,Estación de Policía engativa,"3,007,410,091",11
Bucaramanga,Estación e-01 norte,"3,013,460,593",4
Arauca,Estación Fortul,"3,123,684,413",1
Bogotá,Estación de Policía bosa,"3,013,460,258",66
Bogotá,Estación de Policía suba,"3,013,460,952",81
Cúcuta,Estación de Policía los patios,"3,157,867,286",5
Bogotá,Estación de Policía suba,"3,008,005,394",71
Barranquilla,Estación de Policía malambo,"3,015,780,647",8
Bogotá,Estación de Policía chapinero,"3,002,006,748",21
Cali,Estación la maria,"3,014,385,598",4
ValledeAburra,Estación de Policía belen,"3,127,217,537",5
ValledeAburra,Estación de Policía la candelaria,"3,014,658,871",17
Ibague,Estación de policía norte,"3,013,460,461",30
Bogotá,Estación de Policía ciudad bolivar,"3,008,085,773",24
Pereira,Estación cuba,"3,013,461,268",4
Bogotá,Estación de Policía ciudad bolivar,"3,002,016,036",47
Pereira,subEstación san jose,"3,128,567,593",1
Bogotá,Estación de Policía teusaquillo,"3,002,017,723",13
Cali,Estación los mangos,"3,012,470,157",20
Cali,Estación la flora,"3,014,653,078",11
Pereira,subEstación altagracia,"3,108,974,047",1
Pasto,Estación centro,"3,218,431,131",7
Risaralda,Estación de Policía marsella,"3,148,825,477",2
SantaMarta,Estación de Policía cienaga,"3,017,675,732",9
Cali,Estación limonar,"3,014,381,893",10
ValledeAburra,Estación de Policía doce de octubre,"3,127,201,495",11
Cali,Estación desepaz,"3,105,275,091",16
Bogotá,Estación de Policía bosa,"3,017,565,131",21
Bogotá,Estación de Policía kennedy,"3,002,000,398",71
Villavicencio,Estación de Policía Centauros,"3,214,530,072",8
Santander,Estación malaga,"3,107,944,842",2
Bogotá,Estación de Policía ciudad bolivar,"3,017,566,403",1
Caldas,Estación de Policía La Dorada,"3,016,558,403",4
ValledeAburra,Estación Girardota,"3,127,207,359",2
Bogotá,Estación de Policía tunjuelito,"3,017,607,293",12
Cundinamarca,Estación de Policía Girardot,"3,004,719,713",6
Valle,Estación de Policía Cascajal,"3,016,566,927",29
Bogotá,Estación de Policía kennedy,"3,008,091,223",91
Bogotá,Estación de Policía kennedy,"3,008,055,568",72
Cali,Estación de Policía alfonso lopez,"3,105,316,683",4
SantaMarta,Estación de Policía el rodadero,"3,008,744,178",6
Neiva,Estación de Policía palermo,"3,016,528,286",3
Pereira,Estación pereira,"3,127,481,642",20
SantaMarta,Estación de Policía cienaga,"3,016,837,953",3
Bogotá,Estación de Policía fontibon,"3,008,052,345",2
Barranquilla,Estación de Policía ciudadela,"3,013,461,205",3
Cartagena,Estación de Policía virgen y turistica,"3,106,502,974",6
ValledeAburra,Estación de Policía envigado,"3,127,219,733",6
Valle,Estación de Policía tulua,"3,016,527,795",9
Cali,Estación de Policía nueva floresta,"3,105,325,057",3
Uraba,Estación de Policíaturbo,"3,016,537,638",4
Huila,Estación de Policía pitalito,"3,134,962,784",1
ValledeAburra,Estación de Policía belen,"3,006,147,036",32
ValledeAburra,Estación de Policía poblado,"3,006,150,877",26
ValledeAburra,Estación de Policía manrique,"3,005,417,529",8
Cali,Estación de Policía jamundi,"3,105,205,040",3
Cali,Estación la sultana,"3,105,337,624",2
Sucre,Estación de Policía tolu,"3,016,566,950",4
Cundinamarca,Estación de Policía Compartir,"3,004,724,767",1
Bogotá,Estación de Policía engativa,"3,017,535,547",42
SantaMarta,Estación de Policía el rodadero,"3,008,737,555",10
Valle,Estación de Policía Cascajal,"3,014,382,131",1
Bogotá,Estación de Policía fontibon,"3,013,460,203",44
Quindio,Estación Armenia,"3,128,213,832",3
Pasto,Estación norte,"3,218,431,104",4
Risaralda,Estación de Policía belen de umbria,"3,146,107,303",1
ValledeAburra,Estación de Policía la candelaria,"3,006,150,227",44
Bucaramanga,Estación e-01 norte,"3,013,460,613",9
ValledeAburra,Estación de Policía doce de octubre,"3,127,147,273",10
Bogotá,Estación de Policía bosa,"3,002,030,539",22
Bucaramanga,Estación la cumbre,"3,013,461,892",2
SantaMarta,Estación de Policía rodrigo de bastidas,"3,008,742,032",8
Valle,Estación de Policía Cascajal,"3,014,407,531",31
Valle,Estación de Policía Cascajal,"3,014,407,804",33
Barranquilla,Estación de Policía norte,"3,013,461,762",19
Barranquilla,Estación de Policía galapa,"3,013,461,799",1
ValledeAburra,Estación de Policía santa cruz,"3,127,209,813",1
ValledeAburra,Estación San Javier,"3,127,213,680",6
ValledeAburra,Estación de Policía aranjuez,"3,006,159,207",28
Valle,Estación de Policía cartago,"3,014,380,744",6
Santander,Estación sabana de torres,"3,152,406,416",1
Bogotá,Estación de Policía usme,"3,002,010,791",4
Cali,Estación mariano ramos,"3,105,235,257",7
ValledeAburra,Estación de Policía la candelaria,"3,014,651,152",31
Cartagena,Estación de Policía caribe norte,"3,135,452,441",19
ValledeAburra,Estación de Policía la candelaria,"3,127,148,895",3
Pereira,Estación de Policía dos quebradas,"3,127,281,414",14
Risaralda,Estación de Policía quinchia,"3,206,698,288",2
Cali,Estación la sultana,"3,105,305,975",3
ValledeAburra,Estación San Javier,"3,127,205,301",7
Pasto,Estación norte,"3,218,431,114",14
Ibague,Estación de policía centro,"3,013,460,557",2
Bogotá,Estación de Policía bosa,"3,013,460,259",67
Valle,Estación de Policía dagua,"3,102,699,141",1
Cauca,Estación de Policía Santander de Quilichao,"3,218,763,711",2
Guajira,Estación de Policía Riohacha,"3,126,964,022",4
Bogotá,Estación de Policía chapinero,"3,013,460,957",56
Pereira,Estación pereira,"3,127,478,511",9
Quindio,Estación Armenia,"3,136,804,696",25
Villavicencio,Estación de Policía Centauros,"3,214,525,010",7
Bogotá,Estación de Policía san cristobal,"3,017,576,955",23
Cali,Estación el lido,"3,014,645,098",16
Bogotá,Estación de Policía ciudad bolivar,"3,002,021,749",55
Santander,Estación de Policía cimitarra,"3,016,537,835",1
SantaMarta,Estación de Policía rodrigo de bastidas,"3,008,744,328",11
Pereira,Estación de Policía dos quebradas,"3,013,461,291",20
ValledeAburra,Estación San Javier,"3,043,520,344",19
Cartagena,Estación de Policía caribe norte,"3,215,046,335",1
ValledeAburra,Estación San Javier,"3,013,924,361",15
Cali,Estación terron colorado,"3,105,316,973",1
Risaralda,Estación de Policía quinchia,"3,206,708,382",1
Popayán,Estación de policía norte popayán,"3,014,400,619",20
Villavicencio,Estación de Policía Fundadores,"3,212,856,062",23
Bogotá,Estación de Policía tunjuelito,"3,017,562,186",2
Villavicencio,Estación de Policía Centauros,"3,214,518,658",4
ValledeAburra,Estación San Javier,"3,013,926,189",10
Bogotá,Estación de Policía usaquen,"3,017,559,956",56
Bogotá,Estación de Policía engativa,"3,002,023,816",18
Cartagena,Estación de Policía centro historico,"3,216,749,577",8
Bogotá,Estación de Policía usaquen,"3,013,460,937",43
Popayán,Estación de policía norte popayán,"3,014,396,032",10
Bogotá,Estación de Policía suba,"3,017,603,523",69
Cali,Estación el diamante,"3,105,243,052",5
Cali,Estación de Policía jamundi,"3,105,242,283",2
Cali,Estación melendez,"3,012,471,017",6
ValledeAburra,Estación de Policía poblado,"3,127,212,474",3
Bogotá,Estación de Policía fontibon,"3,017,570,422",20
Bogotá,Estación de Policía rafael uribe,"3,017,568,573",32
Bogotá,Estación de Policía ciudad bolivar,"3,008,058,703",21
Barranquilla,Estación de Policía san jose,"3,013,461,263",11
Cali,Estación de Policía floralia,"3,014,649,149",12
ValledeAburra,Estación de Policía la castilla,"3,014,392,270",19
Antioquia,Estación Caucasia,"3,114,536,529",6
Antioquia,Estación de Policía Yolombo,"3,217,795,184",1
Cartagena,Estación de Policía los caracoles,"3,016,799,810",2
ValledeAburra,Estación Laureles,"3,127,166,225",10
Bucaramanga,Estación piedecuesta centro,"3,013,461,921",4
Bogotá,Estación de Policía chapinero,"3,013,460,914",48
Bogotá,Estación de Policía chapinero,"3,017,536,705",22
Ibague,Estación de policía sur,"3,013,460,515",18
Cali,Estación el diamante,"3,105,273,869",18
Bogotá,Estación de Policía ciudad bolivar,"3,017,568,679",15
ValledeAburra,Estación de Policía la candelaria,"3,006,149,353",47
Cundinamarca,Estación de Policía Chia,"3,014,381,859",2
Villavicencio,Estación de Policía Fundadores,"3,212,830,784",6
Cali,Estación melendez,"3,014,397,001",10
Cúcuta,Estación puerto santander,"3,174,428,824",3
SantaMarta,Estación de Policía distrito turistico de santa marta,"3,008,737,830",20
Bogotá,Estación de Policía bosa,"3,013,460,267",71
Bogotá,Estación de Policía suba,"3,002,009,444",36
Popayán,Estación de policía norte popayán,"3,014,396,601",9
Popayán,Estación de policía norte popayán,"3,014,403,310",30
ValledeAburra,Estación de Policía la castilla,"3,127,208,462",8
Cartagena,Estación de Policía los caracoles,"3,106,005,008",17
Ibague,Estación de policía norte,"3,013,460,466",27
Cartagena,Estación de Policía caribe norte,"3,135,441,110",22
SantaMarta,Estación de Policía distrito turistico de santa marta,"3,008,746,689",4
Cali,Estación mariano ramos,"3,105,226,717",8
Bogotá,Estación de Policía fontibon,"3,013,460,187",41
Cali,Estación la candelaria,"3,014,670,972",4
Bogotá,Estación de Policía chapinero,"3,013,460,797",36
Bogotá,Estación de Policía engativa,"3,013,460,657",55
Cali,Estación el lido,"3,014,382,305",12
Risaralda,Estación de Policía pueblo rico,"3,104,444,952",1
Bogotá,Estación de Policía santa fe,"3,007,924,022",10
Ibague,Estación de policía norte,"3,013,460,464",28
Cali,Estación el diamante,"3,105,197,962",7
Bogotá,Estación de Policía teusaquillo,"3,017,552,908",18
Cali,Estación de Policía la rivera,"3,014,657,242",7
Valle,Estación de Policía ansermanuevo,"3,122,607,866",1
Risaralda,Estación de Policía santa rosa de cabal,"3,105,840,048",1
Bogotá,Estación de Policía bosa,"3,007,411,610",29
Cali,Estación la sultana,"3,014,388,629",6
Ibague,Estación de policía sur,"3,013,460,546",7
Bogotá,Estación de Policía rafael uribe,"3,008,058,305",9
Bogotá,Estación de Policía engativa,"3,008,096,538",24
Bogotá,Estación de Policía kennedy,"3,013,460,751",121
Pereira,Estación pereira,"3,143,326,321",5
Bogotá,Estación de Policía rafael uribe,"3,002,007,602",23
Cartagena,Estación de Policía los caracoles,"3,216,750,855",10
Cartagena,Estación de Policía bocagrande,"3,215,049,839",1
Bogotá,Estación de Policía rafael uribe,"3,002,014,748",30
ValledeAburra,Estación de Policía sabaneta,"3,127,208,392",3
Bogotá,Estación de Policía rafael uribe,"3,002,021,760",5
Bogotá,Estación de Policía kennedy,"3,017,565,440",61
Cúcuta,Estación de Policía belen,"3,174,315,427",8
Neiva,Estación de Policía neiva,"3,016,557,749",2
Barranquilla,Estación de Policía san jose,"3,013,461,243",4
Bogotá,Estación de Policía suba,"3,013,460,882",100
Popayán,Estación de policía sur popayán,"3,014,385,224",20
Cali,Estación melendez,"3,012,470,193",9
Cali,Estación el lido,"3,105,300,691",2
Barranquilla,Estación de Policía bosque,"3,015,796,184",16
Valle,Estación de Policía darien,"3,168,936,004",1
Bogotá,Estación de Policía fontibon,"3,007,458,643",35
Villavicencio,Estación de Policía Acacias,"3,016,555,483",4
Quindio,Estación Armenia,"3,148,491,291",21
Bogotá,Estación de Policía kennedy,"3,017,569,954",25
Bogotá,Estación de Policía tunjuelito,"3,017,564,025",16
Bogotá,Estación de Policía kennedy,"3,013,460,792",108
NortedeSantander,Estación salazar de las palmas,"3,132,345,220",1
SantaMarta,Estación de Policía distrito turistico de santa marta,"3,008,737,875",14
ValledeAburra,Estación de Policía la candelaria,"3,006,172,711",48
Pasto,Estación centro,"3,218,431,148",24
Bogotá,Estación de Policía kennedy,"3,013,460,764",117
Bucaramanga,Estación e-02 centro,"3,013,460,642",5
Pereira,Estación cuba,"3,013,461,266",18
Bogotá,Estación de Policía tunjuelito,"3,013,460,306",24
Bogotá,Estación de Policía santa fe,"3,017,560,352",20
Caldas,Estación de Policía Manizales,"3,217,083,995",10
Bogotá,Estación de Policía bosa,"3,017,572,249",6
Bogotá,Estación de Policía usme,"3,017,564,212",19
Bogotá,Estación de Policía usaquen,"3,008,055,077",20
ValledeAburra,Estación de Policía San Antonio de Prado,"3,006,163,171",6
Cali,Estación fray damian,"3,105,271,736",4
Bogotá,Estación de Policía usaquen,"3,007,411,055",37
Tolima,Estación de Policía espinal,"3,203,446,953",3
Barranquilla,Estación de Policía ciudadela,"3,013,461,357",21
Cali,Estación de Policía floralia,"3,105,296,263",6
Barranquilla,Estación de Policía centro historico,"3,013,461,395",22
Bogotá,Estación de Policía engativa,"3,013,460,219",64
SantaMarta,Estación de Policía rodrigo de bastidas,"3,008,742,234",18
Santander,Estación de Policía cimitarra,"3,016,537,501",3
Bogotá,Estación de Policía kennedy,"3,013,460,790",109
Cundinamarca,Estación de Policía la Mesa,"3,203,389,929",1
SantaMarta,Estación de Policía cienaga,"3,174,330,320",11
Bogotá,Estación de Policía ciudad bolivar,"3,002,000,375",31
Ibague,Estación de policía sur,"3,013,460,524",20
Pereira,Estación de Policía dos quebradas,"3,013,461,299",6
Guajira,Estación de Policía Riohacha,"3,126,957,828",1
Bogotá,Estación de Policía antonio nariño,"3,017,534,817",19
Neiva,Estación de Policía neiva,"3,016,557,580",1
Cali,Estación el diamante,"3,105,311,457",9
Cali,Estación los mangos,"3,105,257,104",9
Bogotá,Estación de Policía usme,"3,017,572,066",13
Pereira,Estación terminal de transportes,"3,122,943,624",1
Bogotá,Estación de Policía kennedy,"3,013,460,750",122
Bogotá,Estación de Policía santa fe,"3,008,098,625",35
Cundinamarca,Estación de Policía Funza,"3,204,433,495",2
ValledeAburra,Estación de Policía doce de octubre,"3,127,204,885",8
Cartagena,Estación de Policía bocagrande,"3,106,307,067",4
Cúcuta,Estación de Policía libertad,"3,174,417,057",4
Bogotá,Estación de Policía kennedy,"3,017,607,954",26
Bogotá,Estación de Policía chapinero,"3,017,570,277",6
Bogotá,Estación de Policía kennedy,"3,017,570,691",70
