FECHA,DEPARTAMENTO,MUNICIPIO,DIA,HORA,BARRIO,ZONA ,CLASE DE SITIO ,ARMA O MEDIO,MOVIL VICTIMA ,MOVIL AGRESOR ,EDAD ,GENERO ,ESTADO CIVIL,CLASE EMPLEADO,PROFESION,ESCOLARIDAD,PAIS NACE,CODIGO DANE ,2012
04/01/2012 12:00:00 AM,MAGDALENA,ARIGUANÍ,Miércoles,15:00,-,URBANA,VIAS PUBLICAS,NO REPORTADO,A PIE,A PIE,-,MASCULINO,UNION LIBRE,COMERCIANTE,NO REPORTADA,NO REPORTADA,COLOMBIA,"23,466,000",1
05/01/2012 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Jueves,23:00,SAN LUIS E-13,URBANA,TRANSPORTE PÚBLICO,NO REPORTADO,A PIE,A PIE,-,FEMENINO,NO REPORTADA,COMERCIANTE,NO REPORTADA,NO REPORTADA,COLOMBIA,"11,001,000",1
05/01/2012 12:00:00 AM,CHOCÓ,QUIBDÓ (CT),Jueves,19:30,-,URBANA,VIAS PUBLICAS,NO REPORTADO,A PIE,A PIE,41,MASCULINO,CASADO,COMERCIANTE,NO REPORTADA,PRIMARIA,COLOMBIA,"17,174,000",1
08/01/2012 12:00:00 AM,CESAR,EL PASO,Domingo,5:00,PUENTE CANOA,RURAL,CASAS DE HABITACION,ARMA BLANCA / CORTOPUNZANTE,VEHICULO,A PIE,0,FEMENINO,SOLTERO,EMPLEADO PARTICULAR,NO REPORTADA,NO REPORTADA,COLOMBIA,"81,065,000",1
09/01/2012 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Lunes,0:30,CIUDAD SALITRE II E-13,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,VEHICULO,26,FEMENINO,SOLTERO,EMPLEADO SALUD,MEDICO,SUPERIOR,COLOMBIA,"52,838,000",1
10/01/2012 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Martes,10:00,BELLA VISTA SUR E-4,URBANA,CASAS DE HABITACION,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,11,MASCULINO,SOLTERO,EMPLEADO PARTICULAR,NO REPORTADA,SECUNDARIA,COLOMBIA,"76,109,000",1
10/01/2012 12:00:00 AM,VALLE,CALI (CT),Martes,16:00,REMANSOS DE COMFANDI E21,URBANA,VIAS PUBLICAS,NO REPORTADO,A PIE,A PIE,41,MASCULINO,UNION LIBRE,EMPLEADO PARTICULAR,NO REPORTADA,SUPERIOR,COLOMBIA,"5,045,000",1
11/01/2012 12:00:00 AM,BOYACÁ,CALDAS,Miércoles,17:45,VDA. CUBO,RURAL,CASAS DE HABITACION,ARMA BLANCA / CORTOPUNZANTE,VEHICULO,A PIE,62,MASCULINO,SOLTERO,AGRICULTOR,NO REPORTADA,NO REPORTADA,COLOMBIA,"19,809,000",1
12/01/2012 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Jueves,20:00,BRASILIA I SECTOR E-7,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,59,MASCULINO,CASADO,COMERCIANTE,NO REPORTADA,PRIMARIA,COLOMBIA,"76,109,000",1
12/01/2012 12:00:00 AM,VALLE,TULUÁ,Jueves,17:30,VDA. ALTO DE SAN RAFAEL,RURAL,FINCAS Y SIMILARES,NO REPORTADA,A PIE,CONDUCTOR MOTOCICLETA,62,MASCULINO,CASADO,GANADERO,NO REPORTADA,SECUNDARIA,COLOMBIA,"23,001,000",1
13/01/2012,ATLÁNTICO,BARRANQUILLA (CT),Viernes,20:30,-,URBANA,TRANSPORTE PÚBLICO,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,16,FEMENINO,SOLTERO,ESTUDIANTE,NO REPORTADA,SECUNDARIA,COLOMBIA,"68,307,000",1
15/01/2012,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,18:00,TERMINAL,URBANA,TERMINAL DE TRANSPORTES,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,-,FEMENINO,SOLTERO,COMERCIANTE,NO REPORTADA,NO REPORTADA,COLOMBIA,"68,307,000",1
17/01/2012,NARIÑO,TÚQUERRES,Martes,8:00,-,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,50,MASCULINO,CASADO,COMERCIANTE,NO REPORTADA,SECUNDARIA,COLOMBIA,"68,307,000",1
19/01/2012,CUNDINAMARCA,BOGOTÁ D.C. (CT),Jueves,10:30,SAN BERNARDINO E-7,URBANA,FRENTE A COLEGIO NO REPORTADA VIA PUBLICA,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,18,MASCULINO,UNION LIBRE,EMPLEADO PARTICULAR,NO REPORTADA,TECNICO,COLOMBIA,"68,307,000",1
20/01/2012,CESAR,SAN ALBERTO,Viernes,10:00,-,URBANA,VEHICULO,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,42,MASCULINO,CASADO,GANADERO,NO REPORTADA,SECUNDARIA,COLOMBIA,"68,307,000",1
22/01/2012,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,16:20,PRADO VERANIEGO E-11,URBANA,LOCAL COMERCIAL,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,24,FEMENINO,SOLTERO,ESTUDIANTE,NO REPORTADA,SUPERIOR,COLOMBIA,"68,307,000",1
22/01/2012,NARIÑO,GUACHUCAL,Domingo,11:30,-,RURAL,FINCAS Y SIMILARES,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,34,MASCULINO,CASADO,EMPLEADO SALUD,MEDICO VETERINARIO,SUPERIOR,COLOMBIA,"68,307,000",1
22/01/2012,NARIÑO,IPIALES,Domingo,18:30,CORREGIMIENTO SAN JUAN,RURAL,FINCAS Y SIMILARES,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,25,FEMENINO,CASADO,EMPLEADO PARTICULAR,PSICOLOGO,SUPERIOR,COLOMBIA,"68,307,000",1
23/01/2012,TOLIMA,ROVIRA,Lunes,13:00,-,RURAL,FINCAS Y SIMILARES,ARMA BLANCA / CORTOPUNZANTE,VEHICULO,A PIE,21,FEMENINO,SOLTERO,COMERCIANTE,NO REPORTADA,SECUNDARIA,COLOMBIA,"17,616,000",1
27/01/2012,META,VILLAVICENCIO (CT),Viernes,15:00,COMUNEROS,URBANA,CASAS DE HABITACION,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,3,FEMENINO,SOLTERO,ESTUDIANTE,NO REPORTADA,ANALFABETA,COLOMBIA,"76,520,000",1
27/01/2012,CUNDINAMARCA,BOGOTÁ D.C. (CT),Viernes,8:00,LA GAITANA E-11,URBANA,BODEGAS Y SIMILARES,NO REPORTADO,A PIE,VEHICULO,-,FEMENINO,NO REPORTA,COMERCIANTE,NO REPORTADA,NO REPORTADA,COLOMBIA,"54,001,000",1
28/01/2012,CAQUETÁ,EL DONCELLO,Sábado,10:00,-,RURAL,FINCAS Y SIMILARES,NO REPORTADO,A PIE,VEHICULO,60,MASCULINO,UNION LIBRE,GANADERO,NO REPORTADA,NO REPORTADA,COLOMBIA,"54,001,000",1
30/01/2012,CUNDINAMARCA,SOACHA,Lunes,7:00,CENTRO COMERCIAL UNISUR,URBANA,CENTRO COMERCIAL,ARMA BLANCA / CORTOPUNZANTE,VEHICULO,A PIE,19,FEMENINO,SOLTERO,ESTUDIANTE,NO REPORTADA,SECUNDARIA,COLOMBIA,"44,847,000",1
01/02/2012 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Miércoles,20:30,EL RETIRO I E-2,URBANA,FRENTE CENTRO COMERCIAL,ARMA BLANCA / CORTOPUNZANTE,A PIE,VEHICULO,25,FEMENINO,SOLTERO,EMPLEADO PARTICULAR,COMUNICADOR SOCIALNO REPORTADAPERIODISTA,SUPERIOR,COLOMBIA,"8,001,000",1
01/02/2012 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Miércoles,18:00,CHICO NORTE I E-2,URBANA,TRANSPORTE PÚBLICO,NO REPORTADO,A PIE,A PIE,-,FEMENINO,NO REPORTADA,COMERCIANTE,NO REPORTADA,NO REPORTADA,COLOMBIA,"5,148,000",1
03/02/2012 12:00:00 AM,BOYACÁ,TASCO,Viernes,18:15,-,URBANA,CASAS DE HABITACION,NO REPORTADA,A PIE,A PIE,50,FEMENINO,CASADO,COMERCIANTE,NO REPORTADA,NO REPORTADA,COLOMBIA,"76,001,000",1
06/02/2012 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Lunes,9:30,SAN BLAS E-4,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,VEHICULO,A PIE,22,MASCULINO,UNION LIBRE,EMPLEADO POLICIAL,POLICIA,SECUNDARIA,COLOMBIA,"18,001,000",1
06/02/2012 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Lunes,10:00,OINAR DEL CONTRY NORTE E-1,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,29,MASCULINO,SOLTERO,CANDIDATOS,NO REPORTADA,PRIMARIA,COLOMBIA,"81,065,000",1
07/02/2012 12:00:00 AM,NARIÑO,LA CRUZ,Martes,8:30,-,RURAL,FINCAS Y SIMILARES,NO REPORTADO,A PIE,A PIE,50,FEMENINO,CASADO,EMPLEADO PARTICULAR,ABOGADO,SUPERIOR,COLOMBIA,"76,001,000",1
07/02/2012 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Martes,21:00,URB. EL BATAN E-11,URBANA,VEHICULO,NO REPORTADO,A PIE,A PIE,37,MASCULINO,SOLTERO,EMPLEADO PARTICULAR,INGENIERO DE SISTEMAS,SUPERIOR,COLOMBIA,"18,001,000",1
13/02/2012,CUNDINAMARCA,BOGOTÁ D.C. (CT),Lunes,18:25,EL VERGEL E-14,URBANA,CASAS DE HABITACION,NO REPORTADO,A PIE,A PIE,20,FEMENINO,SOLTERO,ESTUDIANTE,NO REPORTADA,SECUNDARIA,COLOMBIA,"5,129,000",1
13/02/2012,CUNDINAMARCA,BOGOTÁ D.C. (CT),Lunes,18:00,URB. TIMIZA E-8,URBANA,FRENTE CLINICA U HOSPITAL NO REPORTADA VIA PUBLICA,NO REPORTADO,A PIE,VEHICULO,38,MASCULINO,UNION LIBRE,EMPLEADO PARTICULAR,ADMINISTRADOR DE EMPRESAS,SUPERIOR,COLOMBIA,"76,001,000",1
15/02/2012,TOLIMA,IBAGUÉ (CT),Miércoles,4:30,SIMON BOLIVAR,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,VEHICULO,A PIE,14,FEMENINO,SOLTERO,ESTUDIANTE,NO REPORTADA,NO REPORTADA,COLOMBIA,"19,824,000",1
16/02/2012,VALLE,EL ÁGUILA,Jueves,10:11,VEREDA SANTA ELENA,RURAL,FINCAS Y SIMILARES,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,30,FEMENINO,SOLTERO,EMPLEADO PARTICULAR,INGENIERO,SUPERIOR,COLOMBIA,"52,696,000",1
17/02/2012,CESAR,GAMARRA,Viernes,17:30,-,URBANA,CARRETERA,ARMA BLANCA / CORTOPUNZANTE,A PIE,VEHICULO,73,MASCULINO,CASADO,GANADERO,NO REPORTADA,SECUNDARIA,COLOMBIA,"8,001,000",1
17/02/2012,CESAR,BOSCONIA,Viernes,7:00,-,URBANA,ESTACIONES DE SERVICIO,ARMA DE FUEGO,A PIE,A PIE,44,MASCULINO,CASADO,GANADERO,NO REPORTADA,TECNOLOGO,COLOMBIA,"86,001,000",1
17/02/2012,CASANARE,YOPAL (CT),Viernes,19:00,-,URBANA,PERIMETRO URBANO,ARMA BLANCA / CORTOPUNZANTE,CONDUCTOR TAXI,A PIE,22,FEMENINO,SOLTERO,ESTUDIANTE,COMERCIO INTERNACIONAL,SUPERIOR,COLOMBIA,"17,001,000",1
18/02/2012,ARAUCA,SARAVENA,Sábado,10:00,-,URBANA,NO DEFINIDO,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,-,MASCULINO,NO REPORTADA,EMPLEADO PARTICULAR,NO REPORTADA,NO REPORTADA,COLOMBIA,"5,001,000",1
18/02/2012,ARAUCA,SARAVENA,Sábado,13:45,-,URBANA,RODANDO SOBRE VIA NO REPORTADA VIA PUBLICA,NO REPORTADO,A PIE,VEHICULO,-,FEMENINO,SOLTERO,EMPLEADO PARTICULAR,NO REPORTADA,NO REPORTADA,COLOMBIA,"41,001,000",1
18/02/2012,ARAUCA,SARAVENA,Sábado,13:45,-,URBANA,RODANDO SOBRE VIA NO REPORTADA VIA PUBLICA,NO REPORTADO,A PIE,A PIE,-,FEMENINO,SOLTERO,EMPLEADO PARTICULAR,NO REPORTADA,SECUNDARIA,COLOMBIA,"52,788,000",1
18/02/2012,ARAUCA,SARAVENA,Sábado,13:45,-,URBANA,RODANDO SOBRE VIA NO REPORTADA VIA PUBLICA,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,-,MASCULINO,CASADO,EMPLEADO PARTICULAR,PUBLICISTA,SUPERIOR,COLOMBIA,"81,300,000",1
18/02/2012,META,SAN MARTÍN,Sábado,19:30,-,RURAL,RIOS,NO REPORTADO,A PIE,A PIE,20,MASCULINO,SOLTERO,ESTUDIANTE,NO REPORTADA,SUPERIOR,COLOMBIA,"76,001,000",1
19/02/2012,CASANARE,AGUAZUL,Domingo,1:00,-,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,20,MASCULINO,UNION LIBRE,COMERCIANTE,NO REPORTADA,SECUNDARIA,COLOMBIA,"19,693,000",1
19/02/2012,CASANARE,AGUAZUL,Domingo,1:00,-,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,VEHICULO,A PIE,19,FEMENINO,UNION LIBRE,EMPLEADO SALUD,NO REPORTADA,SECUNDARIA,COLOMBIA,"52,001,000",1
21/02/2012,GUAJIRA,RIOHACHA (CT),Martes,13:00,CENTRO,URBANA,VEHICULO,ARMA DE FUEGO,NO REPORTADA,NO REPORTADA,19,FEMENINO,SOLTERO,ESTUDIANTE,NO REPORTADA,SECUNDARIA,COLOMBIA,"76,001,000",1
22/02/2012,NORTE DE SANTANDER,CÚCUTA (CT),Miércoles,7:15,BARRIO LATINO,URBANA,CASAS DE HABITACION,NO REPORTADO,A PIE,A PIE,35,MASCULINO,SOLTERO,EMPLEADO PARTICULAR,NO REPORTADA,TECNICO,REPUBLICA DOMINICANA,"25,269,000",1
24/02/2012,CUNDINAMARCA,BOGOTÁ D.C. (CT),Viernes,10:15,VILLA ALSACIA E-8,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,CONDUCTOR TAXI,-,MASCULINO,NO REPORTADA,COMERCIANTE,NO REPORTADA,NO REPORTADA,COLOMBIA,"23,555,000",1
24/02/2012,BOYACÁ,SOGAMOSO,Viernes,12:00,EL LAGUITO,URBANA,CLINICAS Y SIMILARES,NO REPORTADO,A PIE,CONDUCTOR TAXI,0,FEMENINO,SOLTERO,NO REPORTA,NO REPORTADA,ANALFABETA,COLOMBIA,"23,001,000",1
24/02/2012,GUAJIRA,MAICAO,Viernes,17:30,CENTRO,URBANA,FRENTE A RESIDENCIAS NO REPORTADA VIA PUBLICA,NO REPORTADO,A PIE,A PIE,42,MASCULINO,SOLTERO,EMPLEADO PARTICULAR,NO REPORTADA,SECUNDARIA,LIBANO,"25,769,000",1
25/02/2012,VALLE,BUENAVENTURA,Sábado,10:30,NAYITA,URBANA,FRENTE A ALMACEN NO REPORTADA VIA PUBLICA,NO REPORTADO,A PIE,CONDUCTOR MOTOCICLETA,41,MASCULINO,SOLTERO,EMPLEADO ARMADA/MARINA,NO REPORTADA,SECUNDARIA,COLOMBIA,"23,162,000",1
25/02/2012,NORTE DE SANTANDER,CÚCUTA (CT),Sábado,7:15,BARRIO LATINO,URBANA,CASAS DE HABITACION,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,35,MASCULINO,CASADO,COMERCIANTE,NO REPORTADA,SECUNDARIA,REPUBLICA DOMINICANA,"23,001,000",1
28/02/2012,ARAUCA,TAME,Martes,5:00,VEREDA BAJO TAMACAY,RURAL,FINCAS Y SIMILARES,NO REPORTADO,A PIE,VEHICULO,25,MASCULINO,SOLTERO,EMPLEADO PARTICULAR,NO REPORTADA,PRIMARIA,COLOMBIA,"11,001,000",1
28/02/2012,ARAUCA,TAME,Martes,5:00,VEREDA BAJO TAMACAY,RURAL,FINCAS Y SIMILARES,ARMA DE FUEGO,A PIE,VEHICULO,37,MASCULINO,CASADO,EMPLEADO PARTICULAR,NO REPORTADA,NO REPORTADA,COLOMBIA,"17,001,000",1
28/02/2012,ARAUCA,TAME,Martes,5:00,VEREDA BAJO TAMACAY,RURAL,FINCAS Y SIMILARES,ARMA BLANCA / CORTOPUNZANTE,CONDUCTOR TAXI,A PIE,24,MASCULINO,SOLTERO,EMPLEADO PARTICULAR,NO REPORTADA,NO REPORTADA,COLOMBIA,"19,698,000",1
