MUNICIPIO,INSTITUCIÓN EDUCATIVA,SEDE,FEMENINO,MASCULINO
SEVILLA,IE GENERAL SANTANDER,HUGO TORO ECHEVERRY,3,5
SEVILLA,IE GENERAL SANTANDER,JAIME OSSA ESCOBAR,7,2
SEVILLA,IE GENERAL SANTANDER,RICARDO NIETO,1,5
SEVILLA,IE GENERAL SANTANDER,SAN JUAN BOSCO,7,5
SEVILLA,IE GENERAL SANTANDER,TRES DE MAYO,4,3
SEVILLA,IE HERACLIO URIBE URIBE,ARTURO PIEDRAHITA,1,0
SEVILLA,IE HERACLIO URIBE URIBE,CONCENTRACIÓN RURAL AGRIC HERACLIO URIBE URIBE,7,3
SEVILLA,IE HERACLIO URIBE URIBE,EL RECREO,2,0
SEVILLA,IE JORGE ELIECER GAITAN,ANTONIO RICAURTE,1,0
SEVILLA,IE JORGE ELIECER GAITAN,GENERAL SANTANDER SATELITE LA CUCHILLA,2,5
SEVILLA,IE JORGE ELIECER GAITAN,JORGE ELIECER GAITAN,0,2
SEVILLA,IE MARIA AUXILIADORA,JOSE MARIA CARBONEL,0,1
SEVILLA,IE MARIA AUXILIADORA,MARIA AUXILIADORA,0,1
SEVILLA,IE MARIA AUXILIADORA,MIRAMAR,1,1
SEVILLA,IE MARIA AUXILIADORA,SIMON BOLIVAR,1,0
SEVILLA,IE SANTA BARBARA,ESC SANTA BARBARA,5,3
SEVILLA,IE SANTA BARBARA,GENERAL SANTANDER ,1,0
SEVILLA,IE SANTA TERESITA,CENT EDUC LA BETULIA,0,1
SEVILLA,IE SANTA TERESITA,COLOMBIA,2,0
SEVILLA,IE SANTA TERESITA,GENERAL SANTANDER SATELITE COLORADAS,4,0
SEVILLA,IE SANTA TERESITA,LA CABAÑA,1,0
SEVILLA,IE SANTA TERESITA,LA MAGDALENA,0,1
SEVILLA,IE SANTA TERESITA,MERCEDES ABREGO,2,1
SEVILLA,IE SANTA TERESITA,RODRIGO DE BASTDIDAS,2,0
SEVILLA,IE SANTA TERESITA,SANTA TERESITA,1,1
SEVILLA,IE SANTA TERESITA,SATELITE GENERAL SANTANDER,2,1
SEVILLA,IE SEVILLA,ANTONIA SANTOS,5,2
SEVILLA,IE SEVILLA,HERACLIO URIBE URIBE,3,0
SEVILLA,IE SEVILLA,JOHN FITZGERALD KENNEDY,2,5
SEVILLA,IE SEVILLA,LOS FUNDADORES,0,2
SEVILLA,IE SEVILLA,MARIA INMACULADA,5,5
SEVILLA,IE SEVILLA,PEDRO EMILIO GIL,1,0
SEVILLA,IE SEVILLA,PRIMITIVO CRESPO,4,3
SEVILLA,IE SEVILLA,SAN JOSE,2,4
SEVILLA,IE SEVILLA,SANTA MARIANA DE JESUS,2,0
SEVILLA,IE SEVILLA,SEVILLA,23,9
TORO,IE  TECNICA AGROPECUARIA TORO,CRISTOBAL COLON,1,3
TORO,IE  TECNICA AGROPECUARIA TORO,INSTITUTO AGRICOLA,1,5
TORO,IE  TECNICA AGROPECUARIA TORO,JOSE MARIA CORDOBA,1,1
TORO,IE  TECNICA AGROPECUARIA TORO,NUESTRA SEÑORA DE FATIMA,3,7
TORO,IE  TECNICA AGROPECUARIA TORO,RESTREPO MEJIA,2,2
TORO,IE  TECNICA AGROPECUARIA TORO,SIMON BOLIVAR,3,1
TORO,IE FRAY JOSE JOAQUIN ESCOBAR,ELOY HERNANDEZ,0,1
TORO,IE FRAY JOSE JOAQUIN ESCOBAR,FRAY JOSE JOAQUIN ESCOBAR,2,6
TORO,IE FRAY JOSE JOAQUIN ESCOBAR,LA GRAN COLOMBIA,0,1
TORO,IE NUESTRA SEÑORA DE LA CONSOLACION,LA INMACULADA,1,4
TORO,IE NUESTRA SEÑORA DE LA CONSOLACION,LA PROVIDENCIA,3,1
TORO,IE NUESTRA SEÑORA DE LA CONSOLACION,NUESTRA SEÑORA DE LA CONSOLACION,4,4
TORO,IE NUESTRA SEÑORA DE LA CONSOLACION,SAN JUAN BOSCO,1,2
TRUJILLO,IE ANTONIOJOSE DE SUCRE,ANTONIO JOSE DE SUCRE,2,0
TRUJILLO,IE ANTONIOJOSE DE SUCRE,ARAUCA,1,0
TRUJILLO,IE ANTONIOJOSE DE SUCRE,BELISARIO PEÑA,2,0
TRUJILLO,IE ANTONIOJOSE DE SUCRE,JULIAN TRUJILLO - ANDINAPOLIS,2,1
TRUJILLO,IE CRISTOBAL COLON,CARLOS HOLGUIN SARDI,0,1
TRUJILLO,IE CRISTOBAL COLON,CRISTOBAL COLON,6,9
TRUJILLO,IE CRISTOBAL COLON,ELOY HERNANDEZ,1,0
TRUJILLO,IE JULIAN TRUJILLO,FRANCISCO JULIAN OLAYA,5,3
TRUJILLO,IE JULIAN TRUJILLO,GENERAL SANTANDER,0,1
TRUJILLO,IE JULIAN TRUJILLO,JORGE ROBLEDO,2,2
TRUJILLO,IE JULIAN TRUJILLO,JOSE J. RIOS,1,2
TRUJILLO,IE JULIAN TRUJILLO,JULIAN TRUJILLO,15,15
TRUJILLO,IE JULIAN TRUJILLO,MERCEDES ABREGO,2,0
TRUJILLO,IE MANUEL MARIA MALLARINO,ELÍAS E. QUIJANO,2,2
TRUJILLO,IE MANUEL MARIA MALLARINO,FEDICIO NAVARRETE,3,2
TRUJILLO,IE MANUEL MARIA MALLARINO,JOSÉ J. ACEVEDO,1,0
TRUJILLO,IE MANUEL MARIA MALLARINO,JOSÉ MARCOS VARGAS,1,0
TRUJILLO,IE MANUEL MARIA MALLARINO,LUIS CARLOS PEÑA,1,0
TRUJILLO,IE MANUEL MARIA MALLARINO,MANUEL MARÍA MALLARINO,5,8
TRUJILLO,IE MANUEL MARIA MALLARINO,MARCO FIDEL SUAREZ,1,0
TRUJILLO,IE MANUEL MARIA MALLARINO,SIMÓN BOLIVAR,1,3
TRUJILLO,IE SAGRADO CORAZON DE JESUS,ALFONSO LOPEZ PUMAREJO,3,1
TRUJILLO,IE SAGRADO CORAZON DE JESUS,SAGRADO CORAZON DE JESUS,7,3
TRUJILLO,IE SAN ISIDRO,JUAN XXIII,2,0
TRUJILLO,IE SAN ISIDRO,LEOCADIO SALAZAR,0,1
TRUJILLO,IE SAN ISIDRO,SAN ISIDRO,0,3
ULLOA,IE LEOCADIO SALAZAR,ANTONIO JOSE DE SUCRE,1,3
ULLOA,IE LEOCADIO SALAZAR,LEOCADIO SALAZAR,12,6
ULLOA,IE LEOCADIO SALAZAR,SANTA CECILIA,4,3
ULLOA,IE MARIA INMACULADA,ESTHER ZORRILLA,1,0
ULLOA,IE MARIA INMACULADA,MARIA INMACULADA,7,6
ULLOA,IE MARIA INMACULADA,SANTA TERESITA,1,0
VERSALLES,IE CARLOS HOLGUIN SARDI,CARLOS HOLGUIN SARDI,2,4
VERSALLES,IE CARLOS HOLGUIN SARDI,JORGE TADEO LOZANO2,1,0
VERSALLES,IE CARLOS HOLGUIN SARDI,MIGUEL ANTONIO CARO,3,1
VERSALLES,IE CARLOS HOLGUIN SARDI,ROSA ZARATE DE PEÑA,0,1
VERSALLES,IE LA INMACULADA,ANOTNIO JOSÉ DE SUCRE,2,0
VERSALLES,IE LA INMACULADA,CAMILO TORRES,1,0
VERSALLES,IE LA INMACULADA,GERARDO BUENO,1,0
VERSALLES,IE LA INMACULADA,JOSÉ EUSEBIO CARO,1,0
VERSALLES,IE LA INMACULADA,LA INMACULADA,13,12
VERSALLES,IE LA INMACULADA,RAMÓN ELÍAS HERNÁNDEZ,1,1
VERSALLES,IE LA INMACULADA,SANTO TOMÁS DE AQUINO,1,1
VERSALLES,IE LA INMACULADA,SIMÓN BOLÍVAR,1,1
VIJES,IE ANTONIO JOSE DE SUCRE,ANTONIO JOSE DE SUCRE,8,5
VIJES,IE ANTONIO JOSE DE SUCRE,ANTONIO NARIÑO,1,0
VIJES,IE ANTONIO JOSE DE SUCRE,ANTONIO RICAURTE,0,2
VIJES,IE ANTONIO JOSE DE SUCRE,ATANASIO GIRARDOT,2,0
VIJES,IE ANTONIO JOSE DE SUCRE,GENERAL SANTANDER,1,0
VIJES,IE ANTONIO JOSE DE SUCRE,LA PEDRERA,0,1
VIJES,IE ANTONIO JOSE DE SUCRE,MARIANO OSPINA PEREZ,2,1
VIJES,IE ANTONIO JOSE DE SUCRE,VICTOR HUMBERTO BARRERA,0,1
VIJES,IE JORGE ROBLEDO,ALVARO ORTIZ CORREA,1,3
VIJES,IE JORGE ROBLEDO,JORGE ROBLEDO,2,5
VIJES,IE JORGE ROBLEDO,POLICARPA SALAVARRIETA,0,4
VIJES,IE VEINTE DE JULIO,VEINTE DE JULIO,1,2
YOTOCO,IE ALFONSO ZAWADZKY,ALFONSO ZAWADZKY,7,5
YOTOCO,IE ALFONSO ZAWADZKY,ANTONIA SANTOS,3,1
YOTOCO,IE ALFONSO ZAWADZKY,JOHN F  KENNEDY,3,1
YOTOCO,IE ALFONSO ZAWADZKY,JORGE ELIÉCER GAITÁN,1,4
YOTOCO,IE ALFONSO ZAWADZKY,POLICARPA SALAVARRIETA,3,2
YOTOCO,IE GABRIELA MISTRAL,ARCELIA GIRON,1,0
YOTOCO,IE GABRIELA MISTRAL,ATANASIO GIRARDOT,1,1
YOTOCO,IE GABRIELA MISTRAL,GABRIELA MISTRAL,5,3
YOTOCO,IE GABRIELA MISTRAL,VICENTE H CRUZ,1,0
YOTOCO,IE SAN JUAN BOSCO,CARLOS ALFONSO GIL,1,1
YOTOCO,IE SAN JUAN BOSCO,CRISTO REY,0,2
YOTOCO,IE SAN JUAN BOSCO,SAN ANTONIO DE PIEDRAS,1,0
YOTOCO,IE SAN JUAN BOSCO,SAN JUAN BOSCO,3,3
ZARZAL,IE ANTONIO NARIÑO,ANTONIO NARIÑO,6,4
ZARZAL,IE ANTONIO NARIÑO,REPÚBLICA DE COLOMBIA,5,0
ZARZAL,IE EFRAIN VARELA VACA,DIVINO NIÑO JESÚS,4,1
ZARZAL,IE EFRAIN VARELA VACA,EFRAIN VARELA VACA,4,3
ZARZAL,IE EFRAIN VARELA VACA,MARÍA INMACULADA,3,1
ZARZAL,IE EFRAIN VARELA VACA,PABLO EMILIO CAMACHO,20,10
ZARZAL,IE EFRAIN VARELA VACA,ROGACIANO PEREA RODRIGUEZ,1,0
ZARZAL,IE EFRAIN VARELA VACA,SANTA CECILIA,1,3
ZARZAL,IE LUIS GABRIEL UMAÑA MORALES,LUIS GABRIEL UMAÑA MORALES,8,5
ZARZAL,IE LUIS GABRIEL UMAÑA MORALES,REPÚBLICA DE VENEZUELA,2,0
ZARZAL,IE NORMAL SUPERIOR NUESTRA SEÑORA DE LAS MERCEDES,FRANCISCO DE PAULA SANTANDER,0,1
ZARZAL,IE NORMAL SUPERIOR NUESTRA SEÑORA DE LAS MERCEDES,JOHN F. KENNEDY,1,1
ZARZAL,IE NORMAL SUPERIOR NUESTRA SEÑORA DE LAS MERCEDES,LAS MERCEDES,1,1
ZARZAL,IE NORMAL SUPERIOR NUESTRA SEÑORA DE LAS MERCEDES,NUESTRA SEÑORA DE LAS MERCEDES,9,5
ZARZAL,IE NORMAL SUPERIOR NUESTRA SEÑORA DE LAS MERCEDES,POLICARPA SALAVARRIETA,0,1
ZARZAL,IE SIMON BOLIVAR,CAMILO TORRES,2,5
ZARZAL,IE SIMON BOLIVAR,FRANCISCO JOSE DE CALDAS,3,4
ZARZAL,IE SIMON BOLIVAR,NUESTRA SEÑORA DE FÁTIMA,1,1
ZARZAL,IE SIMON BOLIVAR,SAGRADO CORAZÓN DE JESÚS,2,2
ZARZAL,IE SIMON BOLIVAR,SIMON BOLIVAR,9,5
