FECHA,DEPARTAMENTO,MUNICIPIO,DIA,HORA,BARRIO,ZONA,CLASE DE SITIO,DELITO,ARMA EMPLEADA,MOVIL AGRESOR,MOVIL VICTIMA,CODIGO DANE,2015
31/12/2015,SANTANDER,FLORIDABLANCA,Jueves,0:00,LOS ROSALES,URBANA,CASAS DE HABITACION,ARTÍCULO 269A. ACCESO ABUSIVO A UN SISTEMA INFORMÁTICO,SIN EMPLEO DE ARMAS,A PIE,A PIE,"68,276,000",1
31/12/2015,SANTANDER,GIRÓN,Jueves,13:00,CASCO ANTIGUO,URBANA,CASAS DE HABITACION,ARTÍCULO 269F. VIOLACIÓN DE DATOS PERSONALES,NO REPORTADO,A PIE,A PIE,"68,307,000",1
31/12/2015,TOLIMA,IBAGUÉ (CT),Jueves,10:00,BALTAZAR,URBANA,VIAS PUBLICAS,ARTÍCULO 269I. HURTO POR MEDIOS INFORMÁTICOS Y SEMEJANTES,SIN EMPLEO DE ARMAS,A PIE,A PIE,"73,001,000",1
31/12/2015,TOLIMA,IBAGUÉ (CT),Jueves,14:25,BALTAZAR,URBANA,VIAS PUBLICAS,ARTÍCULO 269I. HURTO POR MEDIOS INFORMÁTICOS Y SEMEJANTES,SIN EMPLEO DE ARMAS,A PIE,A PIE,"73,001,000",1
31/12/2015,VALLE,CALI (CT),Jueves,7:00,SANTA BARBARA E19,URBANA,VIAS PUBLICAS,ARTÍCULO 269I. HURTO POR MEDIOS INFORMÁTICOS Y SEMEJANTES,SIN EMPLEO DE ARMAS,A PIE,A PIE,"76,001,000",1
31/12/2015,VALLE,CALI (CT),Jueves,9:52,LA INDEPENDENCIA E11,URBANA,CAJERO AUTOMATICO,ARTÍCULO 269I. HURTO POR MEDIOS INFORMÁTICOS Y SEMEJANTES,SIN EMPLEO DE ARMAS,A PIE,A PIE,"76,001,000",1
31/12/2015,VALLE,CALI (CT),Jueves,15:00,URBANIZACION LA FLORA E2,URBANA,CAJERO AUTOMATICO,ARTÍCULO 269I. HURTO POR MEDIOS INFORMÁTICOS Y SEMEJANTES,SIN EMPLEO DE ARMAS,A PIE,A PIE,"76,001,000",1
31/12/2015,VALLE,PALMIRA,Jueves,21:45,VERSALLES,URBANA,CAJERO AUTOMATICO,ARTÍCULO 269I. HURTO POR MEDIOS INFORMÁTICOS Y SEMEJANTES,SIN EMPLEO DE ARMAS,A PIE,A PIE,"76,520,000",1
30/12/2015,ANTIOQUIA,BELLO,Miércoles,0:00,VDA. HATOVIEJO,URBANA,VIAS PUBLICAS,ARTÍCULO 269I. HURTO POR MEDIOS INFORMÁTICOS Y SEMEJANTES,SIN EMPLEO DE ARMAS,A PIE,A PIE,"5,088,000",1
30/12/2015,ATLÁNTICO,BARRANQUILLA (CT),Miércoles,10:31,LAS TORRES,URBANA,VIAS PUBLICAS,ARTÍCULO 269I. HURTO POR MEDIOS INFORMÁTICOS Y SEMEJANTES,SIN EMPLEO DE ARMAS,A PIE,A PIE,"8,001,000",1
30/12/2015,ATLÁNTICO,BARRANQUILLA (CT),Miércoles,11:00,EL BOSQUE,URBANA,OFICINAS,ARTÍCULO 269F. VIOLACIÓN DE DATOS PERSONALES,NO REPORTADO,A PIE,A PIE,"8,001,000",1
30/12/2015,ATLÁNTICO,BARRANQUILLA (CT),Miércoles,16:34,EL POBLADO,URBANA,VIAS PUBLICAS,ARTÍCULO 269I. HURTO POR MEDIOS INFORMÁTICOS Y SEMEJANTES,SIN EMPLEO DE ARMAS,A PIE,A PIE,"8,001,000",1
30/12/2015,ATLÁNTICO,BARRANQUILLA (CT),Miércoles,17:45,BUENA ESPERANZA,URBANA,VIAS PUBLICAS,ARTÍCULO 269A. ACCESO ABUSIVO A UN SISTEMA INFORMÁTICO,SIN EMPLEO DE ARMAS,A PIE,A PIE,"8,001,000",1
30/12/2015,BOYACÁ,SOGAMOSO,Miércoles,2:00,LA ISLA,URBANA,CAJERO AUTOMATICO,ARTÍCULO 269I. HURTO POR MEDIOS INFORMÁTICOS Y SEMEJANTES,SIN EMPLEO DE ARMAS,A PIE,A PIE,"15,759,000",1
30/12/2015,CÓRDOBA,MONTERÍA (CT),Miércoles,10:30,LACHARME,URBANA,CASAS DE HABITACION,ARTÍCULO 269F. VIOLACIÓN DE DATOS PERSONALES,NO REPORTADO,A PIE,A PIE,"23,001,000",1
30/12/2015,CUNDINAMARCA,BOGOTÁ D.C. (CT),Miércoles,8:00,SAN PABLO II E-7,URBANA,VIAS PUBLICAS,ARTÍCULO 269I. HURTO POR MEDIOS INFORMÁTICOS Y SEMEJANTES,SIN EMPLEO DE ARMAS,A PIE,A PIE,"11,001,000",1
30/12/2015,CUNDINAMARCA,BOGOTÁ D.C. (CT),Miércoles,8:30,CHICO NAVARRA E-1,URBANA,CAJERO AUTOMATICO,ARTÍCULO 269I. HURTO POR MEDIOS INFORMÁTICOS Y SEMEJANTES,SIN EMPLEO DE ARMAS,A PIE,A PIE,"11,001,000",1
30/12/2015,CUNDINAMARCA,BOGOTÁ D.C. (CT),Miércoles,11:00,LA CATEDRAL E-17,URBANA,BANCOS,ARTÍCULO 269I. HURTO POR MEDIOS INFORMÁTICOS Y SEMEJANTES,SIN EMPLEO DE ARMAS,A PIE,A PIE,"11,001,000",1
30/12/2015,CUNDINAMARCA,BOGOTÁ D.C. (CT),Miércoles,16:30,CHAPINERO CENTRAL E-2,URBANA,CAJERO AUTOMATICO,ARTÍCULO 269I. HURTO POR MEDIOS INFORMÁTICOS Y SEMEJANTES,SIN EMPLEO DE ARMAS,A PIE,A PIE,"11,001,000",1
30/12/2015,CUNDINAMARCA,BOGOTÁ D.C. (CT),Miércoles,22:13,SANTA BARBARA CENTRAL E-1,URBANA,VIAS PUBLICAS,ARTÍCULO 269I. HURTO POR MEDIOS INFORMÁTICOS Y SEMEJANTES,SIN EMPLEO DE ARMAS,A PIE,A PIE,"11,001,000",1
30/12/2015,CUNDINAMARCA,MADRID,Miércoles,0:00,EL PINAR,URBANA,VIAS PUBLICAS,ARTÍCULO 269I. HURTO POR MEDIOS INFORMÁTICOS Y SEMEJANTES,SIN EMPLEO DE ARMAS,A PIE,A PIE,"25,430,000",1
30/12/2015,HUILA,NEIVA (CT),Miércoles,19:30,LA TOMA,URBANA,CASAS DE HABITACION,ARTÍCULO 269I. HURTO POR MEDIOS INFORMÁTICOS Y SEMEJANTES,SIN EMPLEO DE ARMAS,A PIE,A PIE,"41,001,000",1
30/12/2015,NORTE DE SANTANDER,CÚCUTA (CT),Miércoles,10:05,BARRIO QUINTA VELEZ,URBANA,VIAS PUBLICAS,ARTÍCULO 269I. HURTO POR MEDIOS INFORMÁTICOS Y SEMEJANTES,SIN EMPLEO DE ARMAS,NO REPORTADO,NO REPORTADO,"54,001,000",1
