Fecha,Departamento,Municipio,Día,Hora,Barrio,Zona,Clase de sitio,Arma empleada,Móvil Agresor,Móvil Victima,Edad,Sexo,Estado civil,País de nacimiento,Clase de empleado,Profesión,Escolaridad,Código DANE,Cantidad
19/06/2017,CAUCA,ARGELIA,Lunes,3:00:00,VDA LAS PALMAS,RURAL,FINCAS Y SIMILARES,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,28,MASCULINO,SOLTERO,COLOMBIA,COMERCIANTE,-,SECUNDARIA,"19,050,000",1
19/06/2017,CAUCA,ARGELIA,Lunes,2:20:00,VDA LA SELVA,RURAL,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,22,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,PRIMARIA,"19,050,000",1
19/06/2017,CAUCA,CORINTO,Lunes,20:00:00,VDA SAN RAFAEL,RURAL,FINCAS Y SIMILARES,ARMA DE FUEGO,PASAJERO MOTOCICLETA,A PIE,36,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,PRIMARIA,"19,212,000",1
19/06/2017,CAUCA,TIMBIQUÍ,Lunes,13:00:00,FRANCIA,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,27,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,"19,809,000",1
19/06/2017,CESAR,AGUSTÍN CODAZZI,Lunes,10:30:00,VEREDA,RURAL,TROCHA,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,18,MASCULINO,SOLTERO,-,INDEPENDIENTE,-,NO REPORTADO,"20,013,000",1
19/06/2017,CUNDINAMARCA,BOGOTÁ D.C. (CT),Lunes,2:30:00,SOCORRO III SECTOR E-18,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,31,FEMENINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,"11,001,000",1
19/06/2017,CUNDINAMARCA,BOGOTÁ D.C. (CT),Lunes,20:20:00,ALTOS DEL ROCIO E-19,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,63,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,"11,001,000",1
19/06/2017,CUNDINAMARCA,BOGOTÁ D.C. (CT),Lunes,17:45:00,URB. LA CORUÑA E-19,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,17,MASCULINO,SOLTERO,COLOMBIA,ESTUDIANTE,-,SECUNDARIA,"11,001,000",1
19/06/2017,CUNDINAMARCA,SOACHA,Lunes,11:10:00,BOSQUE DE CIPI,URBANA,LOTE BALDIO,CONTUNDENTES,A PIE,A PIE,25,FEMENINO,-,-,NO REPORTA,-,-,"25,754,000",1
19/06/2017,META,VISTAHERMOSA,Lunes,17:40:00,VEREDA SANTO DOMINGO,RURAL,FINCAS Y SIMILARES,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,34,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,PRIMARIA,"50,711,000",1
