FECHA,DEPARTAMENTO,MUNICIPIO,DÍA,CLASE DE ARMA,PERMISO,ZONA,CLASE DE SITIO,CÓDIGO DANE,CANTIDAD
15/01/2015,SANTANDER,SAN GIL,Jueves,REVOLVER,CON PERMISO,URBANA,CLINICAS Y SIMILARES,"68,679,000",1
15/01/2015,SANTANDER,VALLE DE SAN JOSÉ,Jueves,ESCOPETA DE FISTO,SIN PERMISO,URBANA,INSTALACIONES DE LA POLICIA,"68,855,000",1
15/01/2015,SUCRE,SINCELEJO (CT),Jueves,REVOLVER,CON PERMISO,URBANA,VIAS PUBLICAS,"70,001,000",1
15/01/2015,SUCRE,SINCELEJO (CT),Jueves,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,"70,001,000",2
15/01/2015,VALLE,ANDALUCÍA,Jueves,ESCOPETA,SIN PERMISO,URBANA,VIAS PUBLICAS,"76,036,000",1
15/01/2015,VALLE,BUGALAGRANDE,Jueves,ESCOPETA,SIN PERMISO,RURAL,VIAS PUBLICAS,"76,113,000",1
15/01/2015,VALLE,CALI (CT),Jueves,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,"76,001,000",3
15/01/2015,VALLE,YOTOCO,Jueves,REVOLVER,CON PERMISO,RURAL,CARRETERA,"76,890,000",1
16/01/2015,ANTIOQUIA,EBÉJICO,Viernes,ESCOPETA,SIN PERMISO,RURAL,FINCAS Y SIMILARES,"5,240,000",1
16/01/2015,ANTIOQUIA,GRANADA,Viernes,ESCOPETA,SIN PERMISO,URBANA,VIAS PUBLICAS,"5,313,000",1
16/01/2015,ANTIOQUIA,GUATAPÉ,Viernes,ESCOPETA,SIN PERMISO,URBANA,VIAS PUBLICAS,"5,321,000",1
16/01/2015,ANTIOQUIA,ITAGUI,Viernes,REVOLVER,SIN PERMISO,URBANA,COMPRAVENTA,"5,360,000",1
16/01/2015,ANTIOQUIA,LIBORINA,Viernes,ESCOPETA,SIN PERMISO,RURAL,CASAS DE HABITACION,"5,411,000",1
16/01/2015,ANTIOQUIA,MEDELLÍN (CT),Viernes,REVOLVER,CON PERMISO,URBANA,EMPRESA,"5,001,000",1
