FECHA,DEPARTAMENTO ,MUNICIPIO,DIA ,HORA,BARRIO,ZONA,CLASE SITIO,ARMA EMPLEADA,MOVIL AGRESOR,MOVIL VICTIMA,EDAD,SEXO,ESTADO CIVIL,PAIS NACE,CLASE EMPLEADO,PROFESIONES,ESCOLARIDAD,CODIGO DANE,2012
01/01/2012 12:00:00 AM,ANTIOQUIA,ANDES,Domingo,9:00,-,RURAL,FINCAS Y SIMILARES,ARMA BLANCA,A PIE,A PIE,23,MASCULINO,SOLTERO,COLOMBIA,AGRICULTOR,NO REPORTADO,PRIMARIA,"5,034,000",1
01/01/2012 12:00:00 AM,ANTIOQUIA,CÁCERES,Domingo,6:30,CAMPANARIO,RURAL,FINCAS Y SIMILARES,ARMA BLANCA,A PIE,A PIE,31,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,PRIMARIA,"5,120,000",1
01/01/2012 12:00:00 AM,ANTIOQUIA,CIUDAD BOLÍVAR,Domingo,7:00,PARQUE PRINCIPAL,URBANA,CASAS DE HABITACION,ARMA BLANCA,A PIE,A PIE,47,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,PRIMARIA,"5,101,000",1
01/01/2012 12:00:00 AM,ANTIOQUIA,MEDELLÍN (CT),Domingo,3:30,LAS GRANJAS  C-3,URBANA,VIAS PUBLICAS,ARMA BLANCA,A PIE,A PIE,37,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,"5,001,000",1
01/01/2012 12:00:00 AM,ANTIOQUIA,MEDELLÍN (CT),Domingo,4:38,LAS GRANJAS  C-3,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,28,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,"5,001,000",1
01/01/2012 12:00:00 AM,ANTIOQUIA,MEDELLÍN (CT),Domingo,18:40,VEINTE DE JULIO C-13,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,33,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,"5,001,000",1
01/01/2012 12:00:00 AM,ANTIOQUIA,MEDELLÍN (CT),Domingo,21:36,EL RINCON C-16,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,20,MASCULINO,NO REPORTA,NO REPORTADO,NO REPORTA,NO REPORTADO,NO REPORTADO,"5,001,000",1
01/01/2012 12:00:00 AM,ANTIOQUIA,SALGAR,Domingo,8:00,-,RURAL,FINCAS Y SIMILARES,ARMA BLANCA,A PIE,A PIE,24,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,PRIMARIA,"5,642,000",1
01/01/2012 12:00:00 AM,ANTIOQUIA,SANTA ROSA DE OSOS,Domingo,11:10,EL CANEY,RURAL,CARRETERA,ARMA DE FUEGO,A PIE,A PIE,30,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,NO REPORTADO,"5,686,000",1
01/01/2012 12:00:00 AM,ANTIOQUIA,SEGOVIA,Domingo,18:10,CAMPO ALEGRE,RURAL,FINCAS Y SIMILARES,ARMA DE FUEGO,A PIE,A PIE,38,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,PRIMARIA,"5,736,000",1
01/01/2012 12:00:00 AM,ANTIOQUIA,TURBO,Domingo,12:30,-,RURAL,FINCAS Y SIMILARES,ARMA BLANCA,A PIE,A PIE,36,FEMENINO,UNION LIBRE,COLOMBIA,AMA DE CASA,NO REPORTADO,PRIMARIA,"5,837,000",1
01/01/2012 12:00:00 AM,ATLÁNTICO,BARRANQUILLA (CT),Domingo,20:50,LA PRADERA,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,CONDUCTOR MOTOCICLETA,A PIE,44,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,NO REPORTADO,PRIMARIA,"8,001,000",1
01/01/2012 12:00:00 AM,BOLÍVAR,CARTAGENA (CT),Domingo,6:00,LA MARIA,URBANA,VIAS PUBLICAS,ARMA BLANCA,A PIE,A PIE,22,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,SECUNDARIA,"13,001,000",1
01/01/2012 12:00:00 AM,BOLÍVAR,CARTAGENA (CT),Domingo,13:00,REP. DEL LIBANO,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,22,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,SECUNDARIA,"13,001,000",1
01/01/2012 12:00:00 AM,BOLÍVAR,CARTAGENA (CT),Domingo,16:20,TORICES,URBANA,VIAS PUBLICAS,ARMA BLANCA,A PIE,A PIE,25,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,SECUNDARIA,"13,001,000",1
01/01/2012 12:00:00 AM,BOLÍVAR,SANTA ROSA DEL SUR,Domingo,11:00,CGTO. SAN JOSE,RURAL,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,43,MASCULINO,CASADO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,PRIMARIA,"13,688,000",1
01/01/2012 12:00:00 AM,BOLÍVAR,SANTA ROSA DEL SUR,Domingo,11:00,CGTO. SAN JOSE,RURAL,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,44,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,PRIMARIA,"13,688,000",1
01/01/2012 12:00:00 AM,BOYACÁ,GAMEZA,Domingo,19:00,VDA. SATOBA,RURAL,TIENDA,ARMA BLANCA,A PIE,A PIE,23,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,"15,296,000",1
01/01/2012 12:00:00 AM,BOYACÁ,SIACHOQUE,Domingo,4:30,VDA. TOCAVITA,RURAL,FINCAS Y SIMILARES,ARMA BLANCA,A PIE,A PIE,22,FEMENINO,SOLTERO,COLOMBIA,AMA DE CASA,NO REPORTADO,PRIMARIA,"15,740,000",1
01/01/2012 12:00:00 AM,CALDAS,MANIZALES (CT),Domingo,1:25,PIO XII,URBANA,VIAS PUBLICAS,ARMA BLANCA,A PIE,A PIE,16,MASCULINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADO,SECUNDARIA,"17,001,000",1
01/01/2012 12:00:00 AM,CALDAS,MANIZALES (CT),Domingo,1:30,PIO XII,URBANA,VIAS PUBLICAS,ARMA BLANCA,A PIE,A PIE,32,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,"17,001,000",1
01/01/2012 12:00:00 AM,CALDAS,MANIZALES (CT),Domingo,3:30,BARRIO SAN JOSE,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,19,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,"17,001,000",1
01/01/2012 12:00:00 AM,CALDAS,PALESTINA,Domingo,16:00,LOS CHORROS,RURAL,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,22,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,NO REPORTADO,PRIMARIA,"17,524,000",1
01/01/2012 12:00:00 AM,CALDAS,VICTORIA,Domingo,12:45,VDA ISAZA,RURAL,VIAS PUBLICAS,CONTUNDENTES,A PIE,A PIE,57,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,NO REPORTADO,ANALFABETA,"17,867,000",1
01/01/2012 12:00:00 AM,CAQUETÁ,FLORENCIA (CT),Domingo,17:30,LOS COMUNEROS,URBANA,VIAS PUBLICAS,ARMA BLANCA,A PIE,A PIE,26,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,NO REPORTADO,PRIMARIA,"18,001,000",1
01/01/2012 12:00:00 AM,CAQUETÁ,SAN JOSÉ DEL FRAGUA,Domingo,23:00,VDA.  BOCANA LUNA,RURAL,FINCAS Y SIMILARES,ARMA BLANCA,A PIE,A PIE,53,MASCULINO,SEPARADO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,PRIMARIA,"18,610,000",1
01/01/2012 12:00:00 AM,CAQUETÁ,SAN VICENTE DEL CAGUÁN,Domingo,18:00,INSPECCION DE CAMPO HERMOSO,RURAL,FINCAS Y SIMILARES,ARMA DE FUEGO,A PIE,A PIE,28,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,NO REPORTADO,PRIMARIA,"18,753,000",1
01/01/2012 12:00:00 AM,CAQUETÁ,SAN VICENTE DEL CAGUÁN,Domingo,19:00,VDA. CABAÑAS,RURAL,FINCAS Y SIMILARES,ARMA BLANCA,A PIE,A PIE,49,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,NO REPORTADO,PRIMARIA,"18,753,000",1
01/01/2012 12:00:00 AM,CAUCA,BALBOA,Domingo,15:00,Vda Tablonado,RURAL,FINCAS Y SIMILARES,ARMA DE FUEGO,VEHICULO,A PIE,25,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,"19,075,000",1
