FECHA,DEPARTAMENTO ,MUNICIPIO,DIA ,HORA,BARRIO,ZONA,CLASE SITIO,DELITO,ARMA EMPLEADA,MOVIL AGRESOR,MOVIL VICTIMA,EDAD,SEXO,ESTADO CIVIL,PAIS NACE,CLASE EMPLEADO,PROFESION,ESCOLARIDAD,CODIGO DANE,2014
01/01/2014 12:00:00 AM,ATLÁNTICO,BARRANQUILLA (CT),Miércoles,11:00,LAS TORRES,URBANA,CASAS DE HABITACION,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,SIN EMPLEO DE ARMAS,A PIE,A PIE,37,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,SECUNDARIA,8001000,1
01/01/2014 12:00:00 AM,ATLÁNTICO,BARRANQUILLA (CT),Miércoles,11:30,EL BOSQUE,URBANA,DENTRO DE LA VIVIENDA,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,SIN EMPLEO DE ARMAS,A PIE,A PIE,9,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADO,PRIMARIA,8001000,1
01/01/2014 12:00:00 AM,ATLÁNTICO,TUBARÁ,Miércoles,20:30,GUAIMARAL,RURAL,TROCHA,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,ESCOPOLAMINA,A PIE,A PIE,33,FEMENINO,UNION LIBRE,COLOMBIA,AMA DE CASA,NO REPORTADO,SECUNDARIA,8832000,1
01/01/2014 12:00:00 AM,BOLÍVAR,BARRANCO DE LOBA,Miércoles,11:00,SECTOR MINA SANTA CRUZ,RURAL,CASAS DE HABITACION,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,ARMA BLANCA,A PIE,A PIE,33,FEMENINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,13074000,1
01/01/2014 12:00:00 AM,BOLÍVAR,CARTAGENA (CT),Miércoles,7:00,MAMONAL,URBANA,VIAS PUBLICAS,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,ARMA BLANCA,A PIE,A PIE,62,FEMENINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,PRIMARIA,13001000,1
01/01/2014 12:00:00 AM,BOLÍVAR,CARTAGENA (CT),Miércoles,0:00,NELSON MANDELA,URBANA,VIAS PUBLICAS,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,SIN EMPLEO DE ARMAS,A PIE,A PIE,NO REPORTADO,NO REPORTA,SOLTERO,NO REPORTADO,EMPLEADO PARTICULAR,NO REPORTADO,PRIMARIA,13001000,2
01/01/2014 12:00:00 AM,BOLÍVAR,CARTAGENA (CT),Miércoles,0:00,NELSON MANDELA,URBANA,VIAS PUBLICAS,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,SIN EMPLEO DE ARMAS,A PIE,A PIE,NO REPORTADO,NO REPORTA,SOLTERO,NO REPORTADO,EMPLEADO PARTICULAR,NO REPORTADO,PRIMARIA,13001000,2
01/01/2014 12:00:00 AM,BOLÍVAR,SAN PABLO,Miércoles,0:00,SAN JOSE,URBANA,VIAS PUBLICAS,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,SIN EMPLEO DE ARMAS,A PIE,A PIE,12,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,PRIMARIA,13670000,1
01/01/2014 12:00:00 AM,BOYACÁ,CALDAS,Miércoles,6:15,VDA. VUELTAS,RURAL,CASAS DE HABITACION,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,SIN EMPLEO DE ARMAS,A PIE,A PIE,10,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADO,PRIMARIA,15131000,1
01/01/2014 12:00:00 AM,BOYACÁ,DUITAMA,Miércoles,8:00,DIVINO NIÑO,URBANA,CASAS DE HABITACION,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,SIN EMPLEO DE ARMAS,A PIE,A PIE,12,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADO,SECUNDARIA,15238000,1
01/01/2014 12:00:00 AM,BOYACÁ,DUITAMA,Miércoles,0:00,DIVINO NIÑO,URBANA,CASAS DE HABITACION,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,SIN EMPLEO DE ARMAS,A PIE,A PIE,12,FEMENINO,SOLTERO,NO REPORTADO,ESTUDIANTE,NO REPORTADO,SECUNDARIA,15238000,1
01/01/2014 12:00:00 AM,BOYACÁ,DUITAMA,Miércoles,8:00,DIVINO NIÑO,URBANA,CASAS DE HABITACION,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,SIN EMPLEO DE ARMAS,A PIE,A PIE,18,MASCULINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADO,SECUNDARIA,15238000,1
01/01/2014 12:00:00 AM,BOYACÁ,SANTA SOFÍA,Miércoles,0:00,VDA. DURAZNOS Y COLORADOS,URBANA,VIAS PUBLICAS,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,SIN EMPLEO DE ARMAS,A PIE,A PIE,11,FEMENINO,SOLTERO,NO REPORTADO,EMPLEADO PARTICULAR,NO REPORTADO,PRIMARIA,15696000,1
01/01/2014 12:00:00 AM,BOYACÁ,SOGAMOSO,Miércoles,17:30,SAN ANDRESITO,URBANA,CASAS DE HABITACION,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,CONTUNDENTES,A PIE,A PIE,8,MASCULINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADO,PRIMARIA,15759000,1
01/01/2014 12:00:00 AM,CALDAS,RIOSUCIO,Miércoles,0:00,EL ROBLE,URBANA,VIAS PUBLICAS,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,SIN EMPLEO DE ARMAS,A PIE,A PIE,14,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,PRIMARIA,17614000,2
01/01/2014 12:00:00 AM,CAQUETÁ,SOLANO,Miércoles,0:00,VDA.  EL DANUVIO,URBANA,VIAS PUBLICAS,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,SIN EMPLEO DE ARMAS,A PIE,A PIE,NO REPORTADO,NO REPORTA,SOLTERO,NO REPORTADO,EMPLEADO PARTICULAR,NO REPORTADO,PRIMARIA,18756000,1
01/01/2014 12:00:00 AM,CASANARE,TÁMARA,Miércoles,10:20,CENTRAL DE TAMARA,URBANA,"HOTELES, RESIDENCIAS, Y SIMILARES.",ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,SIN EMPLEO DE ARMAS,A PIE,A PIE,6,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADO,PRIMARIA,85400000,1
01/01/2014 12:00:00 AM,CESAR,LA JAGUA DE IBIRICO,Miércoles,0:00,CORREGIMIENTO LA VICTORIA DE SAN ISIDRO,URBANA,VIAS PUBLICAS,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,SIN EMPLEO DE ARMAS,A PIE,A PIE,14,FEMENINO,SOLTERO,NO REPORTADO,EMPLEADO PARTICULAR,NO REPORTADO,PRIMARIA,20400000,1
01/01/2014 12:00:00 AM,CESAR,SAN MARTÍN,Miércoles,0:00,LA ESPERANZA,URBANA,VIAS PUBLICAS,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,SIN EMPLEO DE ARMAS,A PIE,A PIE,15,FEMENINO,SOLTERO,NO REPORTADO,EMPLEADO PARTICULAR,NO REPORTADO,PRIMARIA,20770000,1
01/01/2014 12:00:00 AM,CÓRDOBA,LORICA,Miércoles,6:30,VILLA CONCEPCION,RURAL,CASAS DE HABITACION,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,SIN EMPLEO DE ARMAS,A PIE,A PIE,14,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADO,SECUNDARIA,23417000,1
