FECHA,DEPARTAMENTO,MUNICIPIO,DIA,HORA,BARRIO,ZONA ,CLASE DE SITIO ,ARMA O MEDIO,MOVIL VICTIMA ,MOVIL AGRESOR ,EDAD ,GENERO ,ESTADO CIVIL,CLASE EMPLEADO,PROFESION,ESCOLARIDAD,PAIS NACE,CODIGO DANE ,2011
27/01/2011,CÓRDOBA,MONTERÍA (CT),Jueves,8:30,SUCRE,URBANA,FRENTE CLINICA U HOSPITAL NO REPORTADA VIA PUBLICA,ARMA BLANCA / CORTOPUNZANTE,VEHICULO,A PIE,26,FEMENINO,CASADO,ESTUDIANTE,NO REPORTADA,SECUNDARIA,COLOMBIA,"81,065,000",1
28/01/2011,CÓRDOBA,PLANETA RICA,Viernes,15:30,-,RURAL,FINCAS Y SIMILARES,ARMA BLANCA / CORTOPUNZANTE,VEHICULO,A PIE,15,MASCULINO,SOLTERO,ESTUDIANTE,NO REPORTADA,SECUNDARIA,COLOMBIA,"81,065,000",1
28/01/2011,ARAUCA,ARAUQUITA,Viernes,17:30,-,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,VEHICULO,A PIE,41,MASCULINO,UNION LIBRE,EMPLEADO PARTICULAR,INGENIERO,SUPERIOR,COLOMBIA,"81,065,000",1
29/01/2011,CUNDINAMARCA,FACATATIVÁ,Sábado,14:00,COPIHUE,URBANA,TIENDA,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,11,MASCULINO,SOLTERO,NO REPORTA,NO REPORTADA,NO REPORTADA,COLOMBIA,"27,425,000",1
29/01/2011,CHOCÓ,CÉRTEGUI,Sábado,10:00,EL CENTRO,RURAL,FINCAS Y SIMILARES,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,NO REPORTADA,MASCULINO,UNION LIBRE,EMPLEADO PARTICULAR,NO REPORTADA,NO REPORTADA,COLOMBIA,"11,001,000",1
29/01/2011,CHOCÓ,CÉRTEGUI,Sábado,10:00,EL CENTRO,RURAL,FINCAS Y SIMILARES,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,38,MASCULINO,UNION LIBRE,EMPLEADO PARTICULAR,NO REPORTADA,SECUNDARIA,COLOMBIA,"63,594,000",1
29/01/2011,NARIÑO,PASTO (CT),Sábado,18:00,-,RURAL,ZONA SELVÁTICA,ARMA BLANCA / CORTOPUNZANTE,VEHICULO,A PIE,21,MASCULINO,UNION LIBRE,COMERCIANTE,NO REPORTADA,NO REPORTADA,COLOMBIA,"73,268,000",1
30/01/2011,VALLE,CALI (CT),Domingo,10:40,EL POBLADO I E13,URBANA,CASAS DE HABITACION,ARMA BLANCA / CORTOPUNZANTE,A PIE,VEHICULO,24,MASCULINO,UNION LIBRE,EMPLEADO PARTICULAR,NO REPORTADA,TECNOLOGO,COLOMBIA,"5,001,000",1
01/02/2011 12:00:00 AM,NARIÑO,PASTO (CT),Martes,12:00,-,RURAL,TRAMO DE VIA,NO REPORTADO,VEHICULO,VEHICULO,70,MASCULINO,CASADO,GANADERO,INGENIERO AGRONOMO,SUPERIOR,COLOMBIA,"5,001,000",1
04/02/2011 12:00:00 AM,CAUCA,SAN SEBASTIÁN,Viernes,19:00,-,RURAL,FINCAS Y SIMILARES,ARMA BLANCA / CORTOPUNZANTE,PASAJERO BUS,PASAJERO BUS,38,MASCULINO,UNION LIBRE,AGRICULTOR,NO REPORTADA,PRIMARIA,COLOMBIA,"11,001,000",1
