FECHA,DEPARTAMENTO,MUNICIPIO,DIA,HORA,BARRIO,ZONA ,CLASE DE SITIO ,ARMA O MEDIO,MOVIL VICTIMA ,MOVIL AGRESOR ,EDAD ,GENERO ,ESTADO CIVIL,CLASE EMPLEADO,PROFESION,ESCOLARIDAD,PAIS NACE,CODIGO DANE ,2010
03/01/2010 12:00:00 AM,CASANARE,YOPAL (CT),Domingo,14:00,-,RURAL,VIAS PUBLICAS,ARMA DE FUEGO,VEHICULO,CONDUCTOR MOTOCICLETA,38,MASCULINO,SOLTERO,NO REPORTA,NO REPORTADA,ANALFABETA,COLOMBIA,"54,810,000",1
05/01/2010 12:00:00 AM,ARAUCA,TAME,Martes,12:20,VEREDA FLOR AMARILLO,RURAL,VIAS PUBLICAS,ARMA DE FUEGO,VEHICULO,CONDUCTOR MOTOCICLETA,33,MASCULINO,UNION LIBRE,EMPLEADO EJERCITO,NO REPORTADA,NO REPORTADO,COLOMBIA,"54,810,000",1
05/01/2010 12:00:00 AM,ANTIOQUIA,BRICEÑO,Martes,17:30,LAS AURAS,RURAL,FINCAS Y SIMILARES,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,24,MASCULINO,UNION LIBRE,GANADERO,NO REPORTADA,NO REPORTADA,COLOMBIA,"19,001,000",1
08/01/2010 12:00:00 AM,CESAR,AGUACHICA,Viernes,10:15,-,RURAL,FINCAS Y SIMILARES,ARMA BLANCA / CORTOPUNZANTE,A PIE,VEHICULO,60,MASCULINO,UNION LIBRE,GANADERO,NO REPORTADA,PRIMARIA,COLOMBIA,"68,307,000",1
09/01/2010 12:00:00 AM,GUAJIRA,DIBULLA,Sábado,20:10,-,RURAL,FINCAS Y SIMILARES,ARMA BLANCA / CORTOPUNZANTE,A PIE,VEHICULO,30,FEMENINO,CASADO,AMA DE CASA,PUBLICISTA,SUPERIOR,SUIZA,"68,307,000",1
11/01/2010 12:00:00 AM,ANTIOQUIA,BRICEÑO,Lunes,8:00,-,RURAL,FINCAS Y SIMILARES,ARMA BLANCA / CORTOPUNZANTE,A PIE,VEHICULO,27,MASCULINO,UNION LIBRE,EMPLEADO PARTICULAR,NO REPORTADA,NO REPORTADA,COLOMBIA,"68,307,000",1
11/01/2010 12:00:00 AM,CESAR,CURUMANÍ,Lunes,16:30,-,RURAL,FINCAS Y SIMILARES,ARMA DE FUEGO,CONDUCTOR TAXI,A PIE,56,MASCULINO,CASADO,GANADERO,NO REPORTADA,NO REPORTADO,COLOMBIA,"5,001,000",1
13/01/2010,GUAJIRA,RIOHACHA (CT),Miércoles,21:50,BUENOS AIRES,URBANA,VEHICULO,ARMA DE FUEGO,CONDUCTOR TAXI,A PIE,37,FEMENINO,CASADO,EMPLEADO PARTICULAR,CONTADOR PUBLICO,SUPERIOR,NO REPORTADA,"5,001,000",1
13/01/2010,GUAJIRA,RIOHACHA (CT),Miércoles,21:50,BUENOS AIRES,URBANA,VEHICULO,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,17,MASCULINO,SOLTERO,ESTUDIANTE,NO REPORTADA,SUPERIOR,NO REPORTADA,"5,212,000",1
16/01/2010,VALLE,BUENAVENTURA,Sábado,23:00,-,RURAL,FINCAS Y SIMILARES,ESPOSAS,A PIE,A PIE,30,MASCULINO,SOLTERO,EMPLEADO PARTICULAR,ADMINISTRADOR DE EMPRESAS,SUPERIOR,COLOMBIA,"25,430,000",1
17/01/2010,ARAUCA,TAME,Domingo,9:00,VEREDA BETOYES,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,VEHICULO,VEHICULO,33,MASCULINO,SOLTERO,EMPLEADO PARTICULAR,ABOGADO,SUPERIOR,COLOMBIA,"19,001,000",1
18/01/2010,SANTANDER,BARBOSA,Lunes,5:30,-,URBANA,CARRETERA,ARMA DE FUEGO,VEHICULO,VEHICULO,68,FEMENINO,CASADO,AMA DE CASA,NO REPORTADA,PRIMARIA,COLOMBIA,"19,001,000",1
19/01/2010,RISARALDA,PEREIRA (CT),Martes,7:40,-,RURAL,VIAS PUBLICAS,ARMA DE FUEGO,VEHICULO,A PIE,48,MASCULINO,NO REPORTADA,EMPLEADO PARTICULAR,NO REPORTADA,NO REPORTADA,COLOMBIA,"20,013,000",1
