FECHA,DEPARTAMENTO,MUNICIPIO,DIA,HORA,BARRIO,ZONA ,CLASE DE SITIO ,ARMA O MEDIO,MOVIL VICTIMA ,MOVIL AGRESOR ,EDAD ,GENERO ,ESTADO CIVIL,CLASE EMPLEADO,PROFESION,ESCOLARIDAD,PAIS NACE,CODIGO DANE ,2014
03/01/2014 12:00:00 AM,CUNDINAMARCA,GIRARDOT,Viernes,15:30,MIRAFLORES,URBANA,ESTACIONES DE SERVICIO,ARMA BLANCA / CORTOPUNZANTE,A PIE,VEHICULO,25,FEMENINO,UNION LIBRE,EMPLEADO PARTICULAR,INGENIERO CIVIL,SUPERIOR,COLOMBIA,"81,065,000",1
04/01/2014 12:00:00 AM,RISARALDA,PEREIRA (CT),Sábado,15:00,LA ARENERA CAIMALITO,URBANA,CASAS DE HABITACION,ARMA BLANCA / CORTOPUNZANTE,A PIE,VEHICULO,28,MASCULINO,UNION LIBRE,EMPLEADO PARTICULAR,NO REPORTADA,SECUNDARIA,COLOMBIA,"81,065,000",1
09/01/2014 12:00:00 AM,NARIÑO,SAN ANDRES DE TUMACO,Jueves,19:01,SAN MARTIN,URBANA,BOMBA DE GASOLINA,ARMA BLANCA / CORTOPUNZANTE,A PIE,VEHICULO,35,FEMENINO,SOLTERO,COMERCIANTE,NO REPORTADA,SECUNDARIA,COLOMBIA,"18,592,000",1
10/01/2014 12:00:00 AM,NORTE DE SANTANDER,CONVENCIÓN,Viernes,16:15,BARRIO LA CADENA,RURAL,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,64,MASCULINO,DIVORCIADO,EMPLEADO PARTICULAR,INGENIERO CIVIL,SUPERIOR,COLOMBIA,"20,032,000",1
10/01/2014 12:00:00 AM,VALLE,CALI (CT),Viernes,7:00,VILLA DEL PRADO E5,URBANA,CASAS DE HABITACION,NO REPORTADO,A PIE,A PIE,25,MASCULINO,UNION LIBRE,COMERCIANTE,NO REPORTADA,TECNOLOGO,COLOMBIA,"76,001,000",1
11/01/2014 12:00:00 AM,CUNDINAMARCA,SOACHA,Sábado,19:00,LOS BALCANES,URBANA,VIAS PUBLICAS,NO REPORTADO,A PIE,VEHICULO,15,MASCULINO,SOLTERO,ESTUDIANTE,NO REPORTADA,SECUNDARIA,COLOMBIA,"18,753,000",1
13/01/2014,CUNDINAMARCA,BOGOTÁ D.C. (CT),Lunes,20:30,URB. LA ALQUERÍA E-16,URBANA,ESTACION TRANSMILENIO (INICIAL),ARMA BLANCA / CORTOPUNZANTE,A PIE,VEHICULO,44,MASCULINO,CASADO,COMERCIANTE,NO REPORTADA,SUPERIOR,COLOMBIA,"5,148,000",1
13/01/2014,VALLE,BUENAVENTURA,Lunes,11:00,LA PLAYITA,URBANA,VEHICULO,ARMA BLANCA / CORTOPUNZANTE,A PIE,VEHICULO,34,MASCULINO,UNION LIBRE,COMERCIANTE,TECNICO EN MERCADEO,TECNICO,COLOMBIA,"19,585,000",1
13/01/2014,VALLE,BUENAVENTURA,Lunes,11:00,LA PLAYITA,URBANA,VEHICULO,ARMA BLANCA / CORTOPUNZANTE,A PIE,VEHICULO,48,MASCULINO,SOLTERO,COMERCIANTE,NO REPORTADA,SECUNDARIA,COLOMBIA,"19,585,000",1
13/01/2014,NORTE DE SANTANDER,DURANIA,Lunes,16:00,VEREDA BUENAVISTA,RURAL,FINCAS Y SIMILARES,ARMA BLANCA / CORTOPUNZANTE,VEHICULO,A PIE,24,MASCULINO,UNION LIBRE,EMPLEADO PARTICULAR,NO REPORTADA,SECUNDARIA,COLOMBIA,"11,001,000",1
